	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.04	SNGL	4.0				1	EACH	[ProClinical Max White One Refill Brush Head]	http://img.tesco.com/Groceries/pi/914/8714789963914/IDShot_90x90.jpg	Colgate Pro Clinical Whitening Brush Heads X4	18.0	76900564	4.5
1	0.335	SNGL	1.0				1	EACH	[ProClinical C250 Electric Toothbrush]	http://img.tesco.com/Groceries/pi/433/8714789976433/IDShot_90x90.jpg	Colgate Proclinical C250 Electric Toothbrush	35.0	77785393	35.0
2	0.26	G	227.0				1	KG	[Soya alternative to smoked hard cheese.]	http://img.tesco.com/Groceries/pi/563/5052910833563/IDShot_90x90.jpg	Tesco Free From Soya Smoked 227G	2.25	73490880	9.92
3	0.117	SNGL	1.0				1	EACH	[CleanCare+ HX3214/01 Electric Toothbrush]	http://img.tesco.com/Groceries/pi/023/8710103760023/IDShot_90x90.jpg	Philips Sonicare Cleancare+ With Pro Results	50.0	80485703	50.0
4	0.088	SNGL	8.0		True	Save 1/3 Was £33.00 Now £22.00	1	EACH	[The Oral B CrossAction toothbrush head features a ptofessionally inspired round head design to clean tooth by tooth. Its CrissCross bristles are set at a 16 degree angle to, effectively clean along the gumline and reach deep between teeth to lift and power away up to 100% more plaque for a superior clean vs. a regular manual toothbrush.]	http://img.tesco.com/Groceries/pi/183/4210201105183/IDShot_90x90.jpg	Oral-B Crossaction Electric Toothbrush Heads X8	22.0	81218334	2.75
5	0.366	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/539/4210201100539/IDShot_90x90.jpg	Oral-B Pro 2000 Crossaction Pink Electric Toothbrush	70.0	80031106	70.0
6	0.062	SNGL	4.0				1	EACH	[Triple clean brush heads]	http://img.tesco.com/Groceries/pi/628/8714789767628/IDShot_90x90.jpg	Colgate Pro Triple Clean Brush Heads X4	18.0	72569922	4.5
7	1.904	SNGL	1.0		True	Half Price Was £50.00 Now £25.00	1	EACH		http://img.tesco.com/Groceries/pi/624/4210201055624/IDShot_90x90.jpg	Oral-B Professional Care 600 Floss Action Electric Toothbrush	25.0	67919902	25.0
8	0.13	SNGL	1.0				1	EACH	[ProResults HX6251/40 Electric Toothbrush]	http://img.tesco.com/Groceries/pi/826/8710103763826/IDShot_90x90.jpg	Philips Sonicare 2 Series With Proresults	70.0	80476386	70.0
9	0.05	SNGL	4.0	False			1	EACH		http://img.tesco.com/Groceries/pi/953/4210201160953/IDShot_90x90.jpg	Oral-B Stages Star Wars Electric Toothbrush Heads X4	16.0	81734794	4.0
10	20.0	G	200.0	False			1	100G	[Gluten and dairy free batter mix., Free From Gluten, Wheat & Milk Batter Mix]	http://img.tesco.com/Groceries/pi/681/5054775347681/IDShot_90x90.jpg	Tesco Free From Batter Mix 200G	1.2	80568306	0.6
11	2.16	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/834/4210201104834/IDShot_90x90.jpg	Oral-B Trizone 2000 3D Action Electric Toothbrush	70.0	77055226	70.0
12	0.365	G	315.0				1	KG	[Layered peas, sweetcorn, carrots and courgette with butter., Layered peas, sweetcorn, carrots and courgette with butter.]	http://img.tesco.com/Groceries/pi/500/5052910939500/IDShot_90x90.jpg	Tesco Buttery And Sweet Layered Vegetables 315G	2.0	73666903	6.35
13	0.19	SNGL	1.0				1	EACH	[3 Series DiamondClean Electric Toothbrush HX6632/24]	http://img.tesco.com/Groceries/pi/857/8710103763857/IDShot_90x90.jpg	Philips Sonicare 3 Series With Diamond Clean	100.0	80484900	100.0
14	0.62	SNGL	1.0				1	EACH	[Sonicare HealthyWhite+ HX8911/04 Sonic Toothbrush]	http://img.tesco.com/Groceries/pi/507/8710103714507/IDShot_90x90.jpg	Philips Sonicare Healthywhite+ Diamond Clean	140.0	80696281	140.0
15	0.925	G	900.0	False	True	Save 30p Was £1.90 Now £1.60	1	100G	[A sweet crumble mix with oats to sprinkle over fruit and bake, Get a Helping Hand, There's an extra helping hand waiting for you on Facebook & Twitter with all my latest competitions, coupons and family meal ideas., facebook.com/auntbessies, twitter.com/auntbessies]	http://img.tesco.com/Groceries/pi/135/5050665028135/IDShot_90x90.jpg	Aunt Bessie's Crumble Mix 900G	1.6	81421127	0.178
16	1.35	SNGL	1.0		True	Half Price Was £50.00 Now £25.00	1	EACH		http://img.tesco.com/Groceries/pi/467/4210201096467/IDShot_90x90.jpg	Oral-B Professional Care 600 Crossaction Electric Toothbrush	25.0	64527938	25.0
17	0.837	SNGL	1.0				1	EACH	[ProClinical C600 toothbrush]	http://img.tesco.com/Groceries/pi/444/8714789767444/IDShot_90x90.jpg	Colgate C600 Pro Clinical Electric Toothbrush	100.0	72569830	100.0
