	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.246	G	180.0				1	100G	[A sliced bread bun. One half topped with BBQ sauce and a blend of Edam and mozzarella cheeses. The other half topped with BBQ sauce, Edam, mozzarella, chicken breast and red peppers., Join our mailing list at... chicagotown.com]	http://img.tesco.com/Groceries/pi/899/4001724020899/IDShot_90x90.jpg	Chicago Town Pizza Melt Bbq Chicken 180G	1.25	80817698	0.694
1	0.519	G	450.0				1	KG	[Slow Cooked Pork Loin Rack with Spicy BBQ Sauce, Simply Heat Spicy BBQ Rack 450g]	http://img.tesco.com/Groceries/pi/058/5054402719058/IDShot_90x90.jpg	Tesco Simply Spicy Bbq Rack Of Ribs 450G	3.0	78471514	6.67
2	0.341	G	340.0				1	100G	[Formed pork with added water, marinated and cooked, using a blend of herbs and spices]	http://img.tesco.com/Groceries/pi/426/5022977008426/IDShot_90x90.jpg	Can Cook Bbq Pulled Pork 340G	1.99	81037732	0.585
3	0.525	G	500.0				1	KG	[Cooked, seasoned pork shoulder with BBQ sauce, Seasoned Cooked Pork Shoulder with BBQ Sauce]	http://img.tesco.com/Groceries/pi/101/5052909826101/IDShot_90x90.jpg	Tesco Simply Pork Shoulder In Bbq Sauce 500G	3.5	72183560	7.0
4	0.05	G	35.0				1	100G	[A sweet recipe mix with smoked paprika, garlic and onion for slow-cooked pulled pork., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/226/5000225051226/IDShot_90x90.jpg	Schwartz Slow Cooker Bbq Pulled Pork 35G	1.0	78808337	2.86
5	0.178	G	100.0		True	Any 2 for £2.00	1	100G	[Tangy Barbecue Flavour Rice Crackers]	http://img.tesco.com/Groceries/pi/501/5000354405501/IDShot_90x90.jpg	Peckish Tangy Bbq Multi Pack 5X20g	1.79	81158364	1.79
6	2.75	ML	250.0				1	100ML	[Spicy Texas inspired barbecue sauce., TEXAS INSPIRED BBQ SAUCE GREAT WITH CHICKEN WINGS, CHEESE & BACON WEDGES OR BBQ BAKED BEANS]	http://img.tesco.com/Groceries/pi/404/5054775702404/IDShot_90x90.jpg	Tesco Texas Bbq Sauce 250Ml	0.89	81016291	0.356
7	0.453	G	454.0	False		£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[British Turkey burgers., 4 Turkey quarter pounders burgers, lightly seasoned.]	http://img.tesco.com/Groceries/pi/117/5054775602117/IDShot_90x90.jpg	Tesco 4 Turkey Burger 454G	2.5	80831847	5.51
8	0.626	G	460.0	False	True	Any 2 for £6.00	1	KG	[A slowly cooked, marinated rack of pork ribs with added water and a sachet of hoisin glaze., Slowly cooked for 4 hours in a blend of herbs with a Peking style hoisin finishing sauce.]	http://img.tesco.com/Groceries/pi/499/5054268703499/IDShot_90x90.jpg	Tesco Bbq Hoi Sin Pork Rib Rack 460G	3.5	75906444	7.61
9	0.383	ML	285.0		True	Save 99p Was £1.99 Now £1.00	1	100ML	[Jamaican Jerk BBQ Sauce, For recipe inspiration visit www.enconasauces.co.uk]	http://img.tesco.com/Groceries/pi/844/5012389671844/IDShot_90x90.jpg	Encona Jamaican Jerk Bbq Sauce 285Ml	1.0	78721295	0.351
10	2.75	ML	250.0	False			1	100ML	[Tennessee inspired barbecue sauce., TANGY & RICH TENNESSEE INSPIRED BBQ SAUCE GREAT WITH PULLED PORK & BREADED MOZZARELLA DIPS]	http://img.tesco.com/Groceries/pi/343/5054775702343/IDShot_90x90.jpg	Tesco Tennessee Bourbon Bbq Sauce 250Ml	0.89	81016106	0.356
11	0.408	G	336.0	False		£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Pork sausagemeat blended with onion, potato starch, herbs and seasonings., 12 BRITISH PORK & HERB MEATBALLS]	http://img.tesco.com/Groceries/pi/501/5053526936501/IDShot_90x90.jpg	Tesco Finest 12 British Pork And Herb Meatballs 336G	2.5	76052634	7.45
12	0.5	G	270.0	False			1	100G	[Peri-peri chicken smokey Portuguese BBQ, Recipes & ideas:, www.nandos.com/sauces]	http://img.tesco.com/Groceries/pi/435/6003770003435/IDShot_90x90.jpg	Nando's Smokey Portuguese Bbq Marinade 270G	1.99	72081588	0.737
13	0.367	G	320.0	False			1	KG	[BBQ Sauce with Mustard]	http://img.tesco.com/Groceries/pi/393/5039303002393/IDShot_90x90.jpg	Reds South Carolina Bbq Mustard Sauce 320G	1.98	81017249	6.19
14	0.167	G	130.0				1	100G	[Pulled, cooked beef with Bourbon BBQ sauce., We've marinated tender Beef brisket ina smoky BBQ seasoning before slow cooking and pulling. Served with this Bourbon BBQ sauce perfect for serving with chunky wedges, corn on the cob and corn bread for a taste of the deep American south.]	http://img.tesco.com/Groceries/pi/880/5054775296880/IDShot_90x90.jpg	Tesco Bourbon Bbq Beef 130G	1.8	80445095	1.39
15	0.19	G	150.0	False	True	Save 99p Was £1.99 Now £1.00	1	100G	[Smoky Barbecue Flavour Crisp Snack Biscuits, To find out how exercise and a balanced diet can help a healthy lifestyle, visit www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/922/5000168193922/IDShot_90x90.jpg	Jacobs Cracker Crisp Smokey Bbq 150G	1.0	81158462	0.667
16	0.304	ML	250.0		True	Save 69p Was £1.69 Now £1.00	1	LITRE	[Garlic and Herb Sauce]	http://img.tesco.com/Groceries/pi/908/8712100891908/IDShot_90x90.jpg	Hellman's Garlic And Herb Sauce 250Ml	1.0	81116414	4.0
17	0.43	G	400.0				1	100G	[Cooked pulled pork in a barbecue sauce with potato wedges and grated mozzarella full fat soft cheese., Cooked pulled pork in a BBQ bean sauce layered with potato wedges and grated cheese. Taste America with this meal that will tantalise your taste buds.]	http://img.tesco.com/Groceries/pi/319/5054775860319/IDShot_90x90.jpg	Tesco Bbq Pulled Pork With Potato Wedges 400G	1.5	81083463	0.375
18	0.8	G	800.0		True	Save £1.00 Was £3.00 Now £2.00	1	KG	[Frozen Single Joint Chicken Wings with a Hickory Smoked Flavoured Barbecue Coating, To find out more about other items within the Harry Ramsden's range visit www.harryramsdens.co.uk]	http://img.tesco.com/Groceries/pi/510/5010365000510/IDShot_90x90.jpg	Harry Ramsden's Hickory Bbq Chicken Wings 800G	2.0	79730962	2.5
