	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.328	G	300.0		True	Half Price Was £2.59 Now £1.29	1	100G	[Cocoa Flavoured Biscuits Made with Wholegrain Cereals, Chocolate Chips and Added Vitamins and Minerals., Enjoy as part of a varied and balanced diet and healthy lifestyle., Visit www.facebook.com/BelvitaUK]	http://img.tesco.com/Groceries/pi/820/7622210189820/IDShot_90x90.jpg	Belvita Cocoa Chocolate Chip 300G	1.29	75173924	0.43
1	0.38	SNGL	18.0				1	EACH	[Milk Chocolate Digestive Bars]	http://img.tesco.com/Groceries/pi/938/5051898569938/IDShot_90x90.jpg	Tesco Everyday Value Chocolate Digestive Bars Biscuit 18 Pack	1.2	57181008	0.067
2	0.157	G	140.0		True	Save 69p Was £1.69 Now £1.00	1	100G	[Milk chocolate bar (45%) between two crisp biscuits., Bahlsen Pick Up  supports sustainable cocoa farming with UTZ certified cocoa., For more information please visit: www.utzcertified.org, Join us on: www.facebook.com/PickupUK]	http://img.tesco.com/Groceries/pi/154/4017100283154/IDShot_90x90.jpg	Bahlsen Pick Up! Biscuit 5 Pack 140G	1.0	73739311	0.714
3	0.3	G	250.0				1	100G	[Biscuits Made with Wholegrain Cereals and Coated with a Chocolate Flavour and Hazelnut Topping (25%) and Added Vitamins and Minerals., Enjoy as part of a varied and balanced diet and healthy lifestyle., Visit www.facebook.com/BelvitaUK]	http://img.tesco.com/Groceries/pi/328/7622210328328/IDShot_90x90.jpg	Belvita Tops Choco Hazelnut 250G	2.79	78055046	1.12
4	0.166	G	154.0		True	Half Price Was £1.08 Now 54p	1	100G	[Chocolate Flavour Sandwich Biscuits with a Chocolate Flavour Filling (29 %).]	http://img.tesco.com/Groceries/pi/245/7622300315245/IDShot_90x90.jpg	Oreo Chocolate Cookies 154G	0.54	64273080	0.351
5	0.093	G	157.0		True	Half Price Was £1.08 Now 54p	1	100G	[Chocolate Flavour Sandwich with a Vanilla Flavour Filling (45%).]	http://img.tesco.com/Groceries/pi/483/7622210148483/IDShot_90x90.jpg	Oreo Double Stuff 157G	0.54	67609889	0.344
6	0.329	G	280.0				1	100G	[Shortcake biscuits with a raspberry flavoured apple jam]	http://img.tesco.com/Groceries/pi/731/0072417143731/IDShot_90x90.jpg	Jammie Dodgers Twin Pack 280G	1.29	50739692	0.461
7	0.18	G	165.6			70p off selected Nestle Biscuit Bar Multipack	1	100G	[Eight bars of two crispy wafer fingers covered in cookie flavour milk (36%) and white (29%) chocolates., Check out our YouTube Channel at www.youtube.com/user/KITKAT, Join us at facebook.com/KITKATuk, Visit www.KITKAT.co.uk, Share your break with #MyBreak, Good to remember: enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures.]	http://img.tesco.com/Groceries/pi/502/7613035219502/IDShot_90x90.jpg	Kit Kat 2 Finger Cookies And Cream 8 Pack 166.4G	1.59	71843553	0.96
8	0.667	G	600.0				1	100G	[Crisp Biscuits, www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/858/5000168124858/IDShot_90x90.jpg	Mcvities Rich Tea Twin Pack 2 X 300G	1.89	51429994	0.315
9	0.246	G	300.0				1	100G	[Ginger Nut Biscuits, Ginger Nut Biscuits]	http://img.tesco.com/Groceries/pi/830/5054402919830/IDShot_90x90.jpg	Tesco Ginger Nuts 300G	0.4	50065808	0.133
10	0.328	G	300.0		True	Half Price Was £2.59 Now £1.29	1	100G	[Biscuits Made with Wholegrain Cereals and Added Vitamins and Minerals., Enjoy as part of a varied and balanced diet and healthy lifestyle., Visit www.facebook.com/BelvitaUK]	http://img.tesco.com/Groceries/pi/993/7622300555993/IDShot_90x90.jpg	Belvita Golden Oats Biscuits 300G	1.29	67336140	0.43
11	0.349	G	300.0				1	100G	[Oaty Biscuits, www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/073/5000168008073/IDShot_90x90.jpg	Mcvities Hobnob 300G	1.0	50375643	0.333
12	0.22	G	220.0				1	100G	[Chocolate Flavour Sandwich Biscuits with a Vanilla Flavour Filling (29%).]	http://img.tesco.com/Groceries/pi/502/7622210021502/IDShot_90x90.jpg	Oreo Vanilla Snack Pack 220G	1.89	71822929	0.859
13	0.256	G	220.0				1	EACH	[Biscuit filled with mallow and covered with chocolate flavoured coating.]	http://img.tesco.com/Groceries/pi/956/5010049001956/IDShot_90x90.jpg	Burtons Wagon Wheels Original Biscuit 6 Pack	0.99	50807370	0.0
14	0.208	G	165.6			70p off selected Nestle Biscuit Bar Multipack	1	100G	[Eight bars of two crispy wafer fingers covered with orange flavoured milk chocolate (66%)., Check out our YouTube Channel at www.youtube.com/user/KITKAT, Join us at facebook.com/KITKATuk, Visit www.KITKAT.co.uk, Share your break with #MyBreak, Good to remember: enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures.]	http://img.tesco.com/Groceries/pi/441/7613035219441/IDShot_90x90.jpg	Kit Kat 2 Finger Orange Chocolate Biscuit 8 Pack 166.4G	1.59	52427833	0.96
15	0.364	G	300.0		True	Half Price Was £2.75 Now £1.37	1	100G	[Cheese Snack Biscuits, To find out how exercise and a balanced diet can help a healthy lifestyle, visit www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/092/5000168131092/IDShot_90x90.jpg	Jacobs Mini Cheddars 12X25g	1.37	51453653	0.457
16	0.299	G	253.0				1	100G	[Biscuits Made with Wholegrain Cereals with a Live Yogurt Filling (13.5%) and a Strawberry Filling (13.5%) and Added Vitamins and Minerals., Enjoy as part of a varied and balanced diet and healthy lifestyle., Visit www.facebook.com/BelvitaUK]	http://img.tesco.com/Groceries/pi/130/7622210020130/IDShot_90x90.jpg	Belvita Strawberry And Yoghurt Crunch 253G	2.79	71819139	1.11
17	0.419	G	400.0				1	100G	[Chocolate Chip Digestives]	http://img.tesco.com/Groceries/pi/483/5052003547483/IDShot_90x90.jpg	Tesco Chocolate Chip Digestive Biscuits 400G	0.6	64613715	0.15
18	0.255	G	177.5		True	Save 99p Was £1.99 Now £1.00	1	100G	[Yogurt Flavour Topping on a Light, Crispy Biscuit with a Sultana and Berry Flavoured Filling, To find out how exercise and a balanced diet can help a healthy lifestyle, visit www.123healthybalance.com, Find out more at www.goahead.co.uk]	http://img.tesco.com/Groceries/pi/578/5000168181578/IDShot_90x90.jpg	Go Ahead Forest Fruit Yoghurt Breaks Bars 5 Pack 177G	1.0	50327920	0.563
19	0.325	G	300.0				1	100G	[Digestive Biscuit half coated with Plain Chocolate.]	http://img.tesco.com/Groceries/pi/436/5052004078436/IDShot_90x90.jpg	Tesco Plain Chocolate Digestives 300G	0.6	71666486	0.2
20	0.095	G	75.0		True	Half Price Was £1.39 Now 69p	1	100G	[Biscuits coated with milk chocolate (49 %)., Find us on Facebook]	http://img.tesco.com/Groceries/pi/396/3017760363396/IDShot_90x90.jpg	Mikado Milk 75G	0.69	63761362	0.92
