	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.505	SNGL	4.0		True	Any 2 for £1.00	2	EACH	[4 White rolls topped with Cheddar cheese, 4 Cheese topped baps  ideal for with soup]	http://img.tesco.com/Groceries/pi/000/0282420000000/IDShot_90x90.jpg	Cheese Topped Bap 4 Pack	0.65	51605388	0.163
1	0.0	G	800.0				2	100G	[Wholemeal loaf., A tasty wholemeal traditional tin loaf with a soft centre and rich wholemeal flavour.]	http://img.tesco.com/Groceries/pi/000/0283750000000/IDShot_90x90.jpg	Wholemeal Loaf Sliced 800G	1.0	57182658	0.125
2	0.422	G	430.0				1	100G	[2 Baguettes filled with an extra strong garlic butter, 2 Extra Strong Garlic Baguettes]	http://img.tesco.com/Groceries/pi/552/5051622094552/IDShot_90x90.jpg	Tesco 2 Extra Strong Garlic All Butter Baguettes 430G	1.0	62657741	0.233
3	0.584	G	420.0	False			2	EACH	[Sourdough bread., Bloomer shaped sourdough bread with 3 open cuts on top and lightly dusted with flour.]	http://img.tesco.com/Groceries/pi/421/5052909401421/IDShot_90x90.jpg	Sourdough Loaf 420G	1.5	71425910	0.0
4	1.0	SNGL	12.0				1	EACH	[12 Sliced White Rolls, For our latest news and competitions warburtons.co.uk, Follow us on:, Facebook and Twitter]	http://img.tesco.com/Groceries/pi/565/5010044000565/IDShot_90x90.jpg	Warburtons 12 Sliced Sandwich Rolls	1.4	52316901	0.117
5	0.0	G	400.0				2	100G	[White loaf with tiger topping., A traditional tiger bloomer with a tasty crust. Don't pick it up by it's tail]	http://img.tesco.com/Groceries/pi/000/0281800000000/IDShot_90x90.jpg	Tiger Bloomer 400G	0.7	56455332	0.175
6	0.392	SNGL	2.0		True	Save 69p Was £1.69 Now £1.00	1	EACH	[Plain Naans, For recipe ideas visit: www.pataks.com]	http://img.tesco.com/Groceries/pi/192/5011308550192/IDShot_90x90.jpg	Pataks Plain Naan Bread 2 Pack	1.0	53902119	0.5
7	0.242	G	260.0		True	Half Price Was £1.50 Now 75p	1	100G	[An Italian style ciabatta bread filled with garlic and parsley butter., Garlic Ciabatta]	http://img.tesco.com/Groceries/pi/854/5031021667854/IDShot_90x90.jpg	Tesco Garlic Ciabatta 260G	0.75	53127340	0.289
8	0.662	SNGL	12.0				1	EACH	[12 Part baked mini white rolls., Bake at home 12 Petit pains]	http://img.tesco.com/Groceries/pi/376/5010204585376/IDShot_90x90.jpg	Tesco 12 Homebake Petit Pains	1.5	57330518	0.125
9	0.587	G	800.0				1	100G	[Soya & Linseed Bread, For more information visit www.vogelsbread.co.uk, Find us on facebook at Love toast love vogels or twitter.com/vogelsbreaduk, We'd like to offer you the opportunity to keep exploring with a chance to Win Fresh Air.... via spectacular hot air balloon trips., Celebrate and explore the beautiful British countryside, whilst breathing in all that wonderful fresh air. We're giving away 10 Hot Air Balloon trips for 2 people, so if you find a Hot Air Balloon ticket inside this loaf... hooray you're a winner]	http://img.tesco.com/Groceries/pi/505/5011986004505/IDShot_90x90.jpg	Vogels Soya And Linseed Bread 800G	1.5	53678580	0.188
