	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.136	G	115.0		True	Save 99p Was £1.99 Now £1.00	1	100G	[Mixed cereal bar with fudge pieces, plain chocolate and a plain chocolate drizzle.]	http://img.tesco.com/Groceries/pi/444/5010029214444/IDShot_90x90.jpg	Alpen Light Chocolate And Fudge Bar 5X19g	1.0	58892571	0.87
1	0.777	G	650.0	False	True	Save 99p Was £3.99 Now £3.00	1	100G	[Wheat, oat and rice pillow containing a milk chocolate flavoured filling.]	http://img.tesco.com/Groceries/pi/196/5050083566196/IDShot_90x90.jpg	Kelloggs Krave Milk Chocolate Cereal 650G	3.0	70541174	0.462
2	0.491	G	375.0				1	100G	[Fortified mixed whole grain sweetened cereal Os with honey, Become a fan @ www.facebook.com/CheeriosUK]	http://img.tesco.com/Groceries/pi/511/7613032021511/IDShot_90x90.jpg	Nestle Honey Cheerios Cereal 375G	2.49	73445497	0.664
3	0.585	G	500.0				1	100G	[Shredded whole grain wheat biscuits with apricot filling., Shredded whole grain wheat biscuits with apricot filling]	http://img.tesco.com/Groceries/pi/490/5010204520490/IDShot_90x90.jpg	Tesco Apricot Wheats Cereal 500G	1.79	57243898	0.358
4	0.242	G	126.0		True	Any 2 for £2.00	1	100G	[Oat cereal bars with strawberry pieces., Strawberry  Cereal bars]	http://img.tesco.com/Groceries/pi/177/5051008815177/IDShot_90x90.jpg	Tesco Goodness Cereal Bar Strawberry 6X21g	1.19	57603868	0.944
5	0.568	G	500.0				1	100G	[Flakes of whole grain wheat with added fruit and hazelnuts, fortified with vitamins and iron., Delicious crunchy FLAKES of WHOLE GRAIN WHEAT with DRIED fruit & hazelnuts]	http://img.tesco.com/Groceries/pi/960/5000119485960/IDShot_90x90.jpg	Tesco Fruit And Fibre Cereal 500G	0.99	50853452	0.198
6	0.574	G	500.0				1	100G	[Shredded whole grain wheat biscuits with raisin filling., Shredded whole grain wheat biscuits with raisin filling]	http://img.tesco.com/Groceries/pi/937/5054268779937/IDShot_90x90.jpg	Tesco Raisin Wheats Cereal 500G	1.79	77279497	0.358
7	0.62	G	500.0	False			1	100G	[A harmony of wholewheat, corn, and rice flakes with raisins and sliced almonds]	http://img.tesco.com/Groceries/pi/257/5000127421257/IDShot_90x90.jpg	Kelloggs Just Right Cereal 500G	3.14	53042727	0.628
8	0.458	G	350.0				1	100G	[Crispy chocolate maize cereal with multi-grain cereal pillows (40%) lined with chocolate flavour filling.]	http://img.tesco.com/Groceries/pi/123/5050083915123/IDShot_90x90.jpg	Kelloggs Coco Pops Cocorocks 350G	2.39	50987783	0.683
9	0.614	G	600.0				1	100G	[Wholegrain Wheat Cereal with Currants, Peanuts, Hazelnuts & Almonds Fortified with Vitamins & Iron.]	http://img.tesco.com/Groceries/pi/289/5010029219289/IDShot_90x90.jpg	Weetabix Minis Fruit And Nut Crisp 600G	2.5	55441281	0.417
10	0.461	G	375.0				1	100G	[Wheat, oat and rice pillow containing a chocolate/hazelnut flavoured filling.]	http://img.tesco.com/Groceries/pi/917/5050083503917/IDShot_90x90.jpg	Kelloggs Krave Cereal 375G	2.79	65381445	0.744
11	0.907	G	750.0				1	100G	[Sugar frosted flakes of corn, fortified with vitamins and iron., Sugar frosted flakes of corn, fortified with vitamins & iron+]	http://img.tesco.com/Groceries/pi/236/5031021258236/IDShot_90x90.jpg	Tesco Frosted Flakes Cereal 750G	1.7	52718408	0.227
12	0.258	G	210.0				1	100G	[Golden Baked Bars with an Apple Flavoured Filling, To find out how exercise and a balanced diet can help a healthy lifestyle, visit www.123healthybalance.com, Find out more at www.goahead.co.uk]	http://img.tesco.com/Groceries/pi/784/5000168098784/IDShot_90x90.jpg	Go Ahead Apple Bakes 6X35g	1.99	55458601	0.948
13	0.09	G	105.0		True	Save 99p Was £1.99 Now £1.00	1	100G	[Mixed cereal bar with cocoa fudge pieces, plain chocolate and a plain chocolate drizzle.]	http://img.tesco.com/Groceries/pi/482/5010029214482/IDShot_90x90.jpg	Alpen Light Bars Double Chocolate 5 Pack 95G	1.0	67610005	0.952
14	0.368	G	565.0				1	100G	[Fortified toasted squares of whole wheat and rice with sugar and cinnamon]	http://img.tesco.com/Groceries/pi/423/5900020016423/IDShot_90x90.jpg	Curiously Cinnamon 565G	3.49	67841706	0.618
15	0.49	G	375.0				1	100G	"[Wheat, corn and oat cereal with glucose and brown sugar., Kellogg's Breakfasts for Better Days™, Helping people is at the heart of Kellogg's. Our founder   W.K. Kellogg   believed in helping all people to flourish and thrive, and that's why we are committed to donating food and money, to families in need through breakfast clubs, foodbanks, and community projects., Sadly, one in seven children goes to school without breakfast in the UK and Ireland**, and a fifth of teachers have seen an increase in hunger in the classroom***. But there is a way to help tackle child hunger in the morning and that's school breakfast clubs., Kellogg's has been supporting breakfast clubs for the last 17 years in the UK and Ireland. In the last year alone we've supported 1,000 school and community breakfast clubs in the UK and Ireland with food, money and training., Head teacher Gill Harding said: ""The funding and cereal we have received from Kellogg's has been such a big help to our school. It has enabled us to buy equipment for our club like bowls and cutlery as well as provide free breakfasts to the children that need it."", Breakfast is the most important meal of the day, and by enabling families in need to have breakfast, we are helping them to start their day the best way and help reach their potential throughout the day., If you would like to read more about how we are helping, please visit www.kelloggs.co.uk and www.kelloggs.ie, **UK: Hoyland et al (2012) Nutr Bull, 37 (3), 232 40. ROI: Irish Health Behaviour in School Aged Children study 2006., ***Based on a YouGov survey of 873 teachers in England and Wales. Total sample size was 873 teachers. Fieldwork was undertaken between 11 23 December 2014.]"	http://img.tesco.com/Groceries/pi/194/5000127300194/IDShot_90x90.jpg	Kelloggs Start Cereal 375G	2.79	50860852	0.744
16	0.132	G	95.0		True	Save 99p Was £1.99 Now £1.00	1	100G	[Mixed cereal bar with orange flavoured fruity pieces and plain chocolate with a plain chocolate drizzle.]	http://img.tesco.com/Groceries/pi/100/5010029220100/IDShot_90x90.jpg	Alpen Light Jaffa Cake 5 Pack 95G	1.0	78663904	1.06
17	0.254	G	145.0		True	Save 99p Was £1.99 Now £1.00	1	100G	[Mixed cereal bars with apple and strawberry, dipped and drizzled with a yogurt flavour coating.]	http://img.tesco.com/Groceries/pi/061/5010029211061/IDShot_90x90.jpg	Alpen Strawberry With Yoghurt Cereal Bar 5X29g	1.0	56810217	0.69
18	0.622	G	500.0	False			1	100G	[Sugar frosted flakes of corn]	http://img.tesco.com/Groceries/pi/998/5000127153998/IDShot_90x90.jpg	Kelloggs Frosties Cereal 500G	2.29	50342227	0.458
19	0.157	G	100.0		True	Any 2 for £3.00	1	100G	[Wholewheat flakes, cereal and milk chocolate pieces in a bar dipped in a smooth milk chocolate layer.]	http://img.tesco.com/Groceries/pi/973/5053827140973/IDShot_90x90.jpg	Kelloggs Special K Chocolate Chip 5X20g	1.99	50810463	1.99
20	0.323	SNGL	8.0	False			1	EACH		http://img.tesco.com/Groceries/pi/491/5011546424491/IDShot_90x90.jpg	Nestle Pic A Pac Variety Pack Cereal 8Pk	2.0	52213343	0.25
21	0.175	G	135.0		True	Any 2 for £2.00	1	100G	[Apple & custard flavoured cereal bars with dried apple pieces, Apple Crumble cereal bars layered cereal bar with Oats & Apple, reminiscent of a classic apple crumble.]	http://img.tesco.com/Groceries/pi/397/5054402005397/IDShot_90x90.jpg	Tesco Apple Crumble Cereal 5 Bars 135G	1.19	77545361	0.882
22	0.777	G	650.0	False	True	Save 99p Was £3.99 Now £3.00	1	100G	[Wheat, oat and rice pillow containing chocolate/hazelnut flavoured filling.]	http://img.tesco.com/Groceries/pi/226/5050083566226/IDShot_90x90.jpg	Kelloggs Krave Chocolate Hazelnut Cereal 650G	3.0	70541255	0.462
23	0.144	G	120.0		True	Any 2 for £2.00	1	100G	[Puffed rice cereal bars with milk flavoured base with added vitamins, Cereal & Milk Flavoured Bars]	http://img.tesco.com/Groceries/pi/468/5052910231468/IDShot_90x90.jpg	Tesco Rice Snaps Cereal And Milk 6 Bars 120G	1.19	72707437	0.992
24	0.213	G	300.0	False	True	Any 2 for £2.00	1	100G	[Biscuits made with cereals and milk, with added vitamins and minerals]	http://img.tesco.com/Groceries/pi/080/5052909161080/IDShot_90x90.jpg	Tesco Breakfast Biscuits Milk And Cereal 6 Pack 300G	1.19	71188591	0.397
25	0.443	G	375.0				1	100G	[Fortified toasted squares of whole grain wheat and maize with brown sugar]	http://img.tesco.com/Groceries/pi/306/3387390336306/IDShot_90x90.jpg	Nestle Golden Grahams Cereal 375G	1.99	51329225	0.531
26	0.236	G	218.0				1	100G	[Sultana and Raspberry Flavoured Filling in a Light Crispy Biscuit, www.goahead.co.uk, www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/407/5000168182407/IDShot_90x90.jpg	Go Ahead Crispy Fruit Slices Raspberry 5 Pack 218G	1.69	64252370	0.775
27	0.337	G	210.0		True	Save 51p Was £2.51 Now £2.00	1	100G	[Crunchy cereal bars made whole grain rolled oats and honey., Find us at www.naturevalley.com]	http://img.tesco.com/Groceries/pi/790/8410076600790/IDShot_90x90.jpg	Nature Valley Crunchy Bars Oat And Honey 5Pack 210G	2.39	54109838	1.14
28	0.172	G	144.0	False			1	100G	[Crispy Grains of Toasted Rice Cereal and Milk Chocolate Chunks with a Caramely Chocolate Flavour Coating., For more information see, www.kelloggs.co.uk, www.kelloggs.ie]	http://img.tesco.com/Groceries/pi/175/5000127730175/IDShot_90x90.jpg	Kelloggs Chocolate Caramel Krispie Square 4 X 36G	1.99	54921360	1.39
