	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.27	G	252.0				1	KG	[Cheese Food Snack, Hop online: www.dairylea.co.uk or www.facebook.com/dairylea]	http://img.tesco.com/Groceries/pi/879/7622300213879/IDShot_90x90.jpg	Dairylea Strip Cheese 12'S 252G	3.5	65108229	13.89
1	0.318	G	280.0				1	KG	[Full Fat Soft Cheese., For delicious recipe ideas or any other comments: Visit: www.philadelphia.co.uk]	http://img.tesco.com/Groceries/pi/743/7622210307743/IDShot_90x90.jpg	Philadelphia Original 280G	2.4	55265719	8.58
2	0.092	G	500.0				1	KG	[Fat Free skimmed milk soft cheese., Fat Free skimmed milk soft cheese.]	http://img.tesco.com/Groceries/pi/660/5054268932660/IDShot_90x90.jpg	Tesco Quark Fat Free Soft Cheese 500G	1.6	77437322	3.2
3	0.443	G	450.0				1	KG	[Full fat Red Leicester cheese, Red Leicester with a creamy texture and nutty undertones.]	http://img.tesco.com/Groceries/pi/766/5054269895766/IDShot_90x90.jpg	Tesco Red Leicester 450G	2.5	75719390	5.56
4	0.152	G	150.0				1	KG	[Grated Mature Cheddar, For delicious recipes, visit www.pilgrimschoice.com]	http://img.tesco.com/Groceries/pi/052/5000165363052/IDShot_90x90.jpg	Pilgrims Choice Grated Mature Cheddar 150G	2.0	81491884	13.34
5	0.187	G	150.0		True	Save 45p Was £1.45 Now £1.00	1	KG	[Cheese Spread, Did you know?, Our profits go to charity  We're owned by the Kavli Trust and their mission is to help good causes here in the UK and across the globe. So, every time you pick up a tube of Primula, you're helping a good cause too., For recipe ideas visit www.primula.co.uk]	http://img.tesco.com/Groceries/pi/045/0074472281045/IDShot_90x90.jpg	Primula Original Cheese Spread 150G Tube	1.0	50173945	6.67
6	0.2	G	200.0				1	KG	[Wensleydale cheese with sweetened dried cranberries, Wensleydale cheese with sweetened dried cranberries]	http://img.tesco.com/Groceries/pi/203/0000003062203/IDShot_90x90.jpg	Tesco Wensleydale And Cranberries 200G	2.0	56357498	10.0
7	0.143	G	120.0				1	KG	[Cheese Specialty Made with Mild Cheddar]	http://img.tesco.com/Groceries/pi/842/3073780853842/IDShot_90x90.jpg	Mini Babybel Cheddar 120G	1.85	51767308	15.42
8	0.299	G	250.0		True	Save 50p Was £2.00 Now £1.50	1	KG	[Cheese spread, Go online: www.dairylea.co.uk]	http://img.tesco.com/Groceries/pi/643/7622210317643/IDShot_90x90.jpg	Dairylea Regular Triangles 250G	1.5	60970856	6.0
9	0.273	G	250.0	False			1	KG	[Medium fat soft cheese with garlic and herbs., Lighter Garlic and Herbs Smooth & Creamy Soft Cheese]	http://img.tesco.com/Groceries/pi/792/5052910721792/IDShot_90x90.jpg	Tesco Soft Cheese Garlic And Herb 250G	1.0	73385054	4.0
10	0.125	G	200.0		True	Save 30p Was £1.80 Now £1.50	1	KG	[Full fat soft cheese made from pasteurised cow's milk.]	http://img.tesco.com/Groceries/pi/028/3228020232028/IDShot_90x90.jpg	President Brie 200G	1.5	58617708	7.5
11	0.442	G	160.0				1	KG	[Medium fat hard cheese. Cheestrings in an unripened cheese., Consume as part of a healthy lifestyle & balanced diet.]	http://img.tesco.com/Groceries/pi/953/5000187130953/IDShot_90x90.jpg	Cheestrings Twisted 8 Pack 160G	2.75	53563295	17.19
12	0.2	G	200.0				1	KG	[Processed slices made using a blend of cheese, vegetable oil and milk proteins, Mature cheese flavoured processed slices, great on a burger]	http://img.tesco.com/Groceries/pi/059/5052909781059/IDShot_90x90.jpg	Tesco Full Fat 10 Mature Cheese Slices 200G	1.0	72068697	5.0
13	0.338	G	320.0		True	Any 2 for £4.00	1	KG	[Extra Mature and Delicious Cheddar, Find out more about Wyke Farms at: wykefarms.com]	http://img.tesco.com/Groceries/pi/254/5021427905254/IDShot_90x90.jpg	Wyke Farms Just Delicious Extra Mature Cheddar 320G	3.0	77116339	9.38
14	0.2	G	200.0				1	KG	[Medium fat soft Green salad cheese made with pasteurised cows' milk]	http://img.tesco.com/Groceries/pi/043/5051790387043/IDShot_90x90.jpg	Tesco Lighter Greek Salad Cheese 200G	1.2	62960502	6.0
15	0.233	G	230.0				1	100G	[A flatbread topped with a three cheese and roast garlic butter and mozzarella., Four Cheese and Garlic Flatbread]	http://img.tesco.com/Groceries/pi/406/5054402369406/IDShot_90x90.jpg	Tesco 4 Cheese And Garlic All Butter Flatbread 230G	1.5	71311739	0.652
16	0.299	G	180.0		True	Any 2 for £3.00	1	KG	[Medium fat soft cheese., For delicious recipe ideas or any other comments: Visit: www.philadelphia.co.uk]	http://img.tesco.com/Groceries/pi/514/7622210307514/IDShot_90x90.jpg	Philadelphia Light 180G	1.85	50602709	10.28
17	0.2	G	200.0				1	KG	[Mediterranean style semi-hard cow's milk cheese., Looking for quick, easy meals? Visit www.apetinacheese.co.uk]	http://img.tesco.com/Groceries/pi/432/5760466852432/IDShot_90x90.jpg	Apetina Classic Block Cheese 200G	1.5	59341721	7.5
18	0.01	G	93.9				1	KG	[Cheese food slices (34%) with added calcium and vitamin D. Butter flavour wheat crackers. Cooked cured chicken breast slices (31%) formed from chicken breast pieces with starch.]	http://img.tesco.com/Groceries/pi/139/7622300498139/IDShot_90x90.jpg	Dairylea Lunchables Chicken And Cheese 93.9G	1.5	75886639	15.98
19	0.217	G	160.0		True	Save 75p Was £1.75 Now £1.00	1	KG	[Reduced fat cheese.]	http://img.tesco.com/Groceries/pi/456/3073781011456/IDShot_90x90.jpg	Leerdammer Light Slices 160G	1.0	57105233	6.25
20	0.23	G	150.0				1	100G	[Cheese Flavour Maize Snacks, Cheese flavour baked maize snacks]	http://img.tesco.com/Groceries/pi/014/5051008190014/IDShot_90x90.jpg	Tesco Cheese Puff Snacks 150G	0.85	54860362	0.567
21	0.25	G	250.0				1	KG	[Mascarpone full fat soft cheese., A smooth and velvety cheese with a sweet and lemony taste. Perfect in desserts or stirred through pasta]	http://img.tesco.com/Groceries/pi/954/0000003016954/IDShot_90x90.jpg	Tesco Mascarpone 250G	1.2	51571288	4.8
22	0.248	G	250.0		True	Any 2 for £3.00	1	KG	[Edam medium fat hard cheese., Sweet & Buttery. Great in toasted sandwiches. Source of calcium]	http://img.tesco.com/Groceries/pi/313/5051399201313/IDShot_90x90.jpg	Tesco 10 Edam Slices 250G	1.75	53765557	7.0
23	0.304	G	280.0				1	KG	[Reduced fat cheese spread]	http://img.tesco.com/Groceries/pi/111/3073780836111/IDShot_90x90.jpg	Laughing Cow Light Cheese Triangles 280G	2.0	56086970	7.15
24	0.338	G	400.0				1	KG	[Macaroni pasta in a creamy cheese sauce, Everyday Value Macaroni Cheese]	http://img.tesco.com/Groceries/pi/167/5052909576167/IDShot_90x90.jpg	Tesco Everyday Value Macaroni Cheese 400G	0.95	54932306	2.38
25	0.145	G	99.0				1	KG	[Cheese & Toasties]	http://img.tesco.com/Groceries/pi/603/5000295145603/IDShot_90x90.jpg	Chedds Cheese And Toasties 3 Pack	1.5	68085630	15.16
