	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.064	G	950.0	False		£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[This product can contain a variable number of chicken breast portions in each, pack., Make light work of midweek meals with our naturally lean and tender chicken, breast. These hand trimmed, skinless fillet portions are perfect for fajita, wraps, sliced in a stir fry or diced in curry. For a healthy teatime treat, simply season and grill and serve with roasted vine tomatoes and fresh rocket, salad., Click the Recipes tab at the top of this page to find Real Food recipes with, ingredients you can add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by British farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/283/5054775750283/IDShot_90x90.jpg	Tesco British Chicken Breast Portions 950G	5.5	77453861	5.79
1	0.558	G	450.0		True	Save 50p Was £3.50 Now £3.00	1	KG	"[""Make light work of midweek meals with our diced British chicken breast. It’s, your go to ingredient for a quick and easy curry, stir fry, pasta dish, tasty, wrap or succulent skewer. Spicy food fan? Turn up the heat with a Tesco Tikka, Masala sauce or try our Real Food recipe for Curried chicken kebabs., Click on the Recipes tab at the top of this page to see Real Food chicken, recipes with ingredients you can add straight to your basket., Raw chicken should always be kept at the bottom of the fridge (in its original, packaging or a sealed container) and there is no need to wash it before, cooking., Tesco chickens are reared by British farmers who are passionate about welfare, and meet Red Tractor standards as well as our own stringent Agricultural, Requirements. Our chickens are reared in houses with natural daylight and bales, as studies have shown this type of enrichment improves the activity and, wellbeing of the birds.""]"	http://img.tesco.com/Groceries/pi/473/5054268736473/IDShot_90x90.jpg	Tesco British Diced Chicken Breast 450G	3.0	73049747	6.67
2	1.792	KG	1.65		True	Save 50p Was £4.50 Now £4.00	1	KG	[Our range of whole chickens are perfect for a succulent roast, and midweek, meals made from tasty leftovers. Use up lean chicken breast in a stir fry or, salad while tasty thighs and drumsticks sizzle in casseroles, on the barbecue,, or in a curry., Click the Recipes tab at the top of this page to find Real Food recipes with, ingredients you can add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by British farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/531/5054775703531/IDShot_90x90.jpg	Tesco British Large Whole Chicken 1.65-1.95Kg	4.0	64083120	2.43
3	0.338	G	300.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Willow Farms chicken reared exclusively for Tesco., Grill and slice these chicken breasts to top a healthy salad. Make the most of, your breast fillets with tasty RealFood recipes to feed your family., Willow Farms chickens are reared to Red Tractor assured welfare standards, to, find out more about our Farms Range visit: www.tesco.com/thefarmsrange]	http://img.tesco.com/Groceries/pi/282/5054775702282/IDShot_90x90.jpg	Willow Farms Chicken Breast Portions 300G	1.89	81006055	6.3
4	0.656	G	600.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[For midweek meals that won’t break the budget, our succulent boneless, skinless, chicken thigh fillets are a tasty option. Our succulent chicken thighs are, delicious in a curry sauce with a naan, pilau rice and chutney. Or try slow, cooked in a stew, casserole or in pies., Click on the Recipes tab at the top of this page to find Real Food recipes with, ingredients to add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by British farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/978/5054269362978/IDShot_90x90.jpg	Tesco British Chicken Thigh Fillets 600G	3.5	74567783	5.84
5	1.564	KG	1.3			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Our range of whole chickens are perfect for a succulent roast, and midweek, meals made from tasty leftovers. Use up lean chicken breast in a stir fry or, salad while tasty thighs and drumsticks sizzle in casseroles, on the barbecue,, or in a curry., Click the Recipes tab at the top of this page to find Real Food recipes with, ingredients you can add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by British farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/221/5054775750221/IDShot_90x90.jpg	Tesco British Whole Medium Chicken 1.3-1.5Kg	3.5	77965664	2.7
6	0.513	G	500.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Make light work of midweek meals with our naturally lean and tender British, chicken breast mini fillets. Perfect for fajitas with tortillas, grated cheese,, roasted peppers and red onion or in a stir fry with noodles and bean sprouts., Looking for something everyday easy? Bring a taste of Texmex to your table with, a Tesco fajita kit., Click on the Recipes tab at the top of this page to find Real Food recipes with, ingredients to add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by British farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/450/5054775750450/IDShot_90x90.jpg	Tesco British Chicken Breast Mini Fillets 500G	4.0	64097835	8.0
7	0.258	G	240.0				1	100G	[Cooked and sliced chicken, Everyday Value Sliced Chicken. Prepared using meat that complies with our strict welfare and quality standards]	http://img.tesco.com/Groceries/pi/043/5051898889043/IDShot_90x90.jpg	Tesco Everyday Value Sliced Cooked Chicken 240G	2.0	56293578	0.833
8	0.38	G	300.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Make light work of midweek meals with our naturally lean and tender chicken, breast. These hand trimmed, skinless fillet portions are perfect for fajita, wraps, sliced in a stir fry or diced in curry. For a healthy teatime treat, simply season and grill and serve with roasted vine tomatoes and fresh rocket, salad., Click the Recipes tab at the top of this page to find Real Food recipes with, ingredients you can add straight to your basket., Expertly selected for freshness and quality. We care about welfare, that's why, these Tesco chickens are reared by Scottish farmers and enjoy an enriched, environment with natural daylight and bales to improve the activity and, wellbeing of the birds. Our chicken meets Red Tractor standards, as well as our, own strict agricultural requirements.]	http://img.tesco.com/Groceries/pi/602/5054268934602/IDShot_90x90.jpg	Tesco 2 British Chicken Breast Fillets 300G	2.5	77453671	8.34
9	0.135	G	125.0		True	Any 2 for £3.00	1	100G	[Sliced, cooked and roasted formed chicken breast., 5 Slices.]	http://img.tesco.com/Groceries/pi/928/5052910805928/IDShot_90x90.jpg	Tesco British Roast Chicken 125G	1.8	55204793	1.44
