	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.208	G	165.0		True	Any 10 for £3.00	1	100G	[Vanilla sprinkled with dark chocolate (0.5%) fat free yogurt with sugars & sweeteners]	http://img.tesco.com/Groceries/pi/431/4025500138431/IDShot_90x90.jpg	Muller Light Vanilla And Chocolate Yoghurt 165G	0.55	63626189	0.333
1	0.168	G	150.0				1	100G	[Plain cooking chocolate.]	http://img.tesco.com/Groceries/pi/910/5018374352910/IDShot_90x90.jpg	Tesco Plain Cooking Chocolate 150G	0.8	51673346	0.533
2	0.906	G	750.0				1	100G	[An assortment of milk chocolates and a milk chocolate covered biscuit]	http://img.tesco.com/Groceries/pi/641/5000159461641/IDShot_90x90.jpg	Celebrations Tub 750G	5.0	73905057	0.667
3	0.856	G	135.0		True	Any 10 for £3.00	1	100G	[Vanilla flavour yogurt with milk chocolate & white chocolate coated puffed rice (10%)]	http://img.tesco.com/Groceries/pi/512/4025500165512/IDShot_90x90.jpg	Muller Corner Crunch Vanilla Chocolate Balls Yoghurt 135G	0.55	51769994	0.407
4	0.143	G	110.0		True	Save 50p Was £1.50 Now £1.00	1	100G	[Textured milk chocolates.]	http://img.tesco.com/Groceries/pi/021/7622210287021/IDShot_90x90.jpg	Cadbury Bitsa Wispa Bag 110G	1.0	71331888	0.909
5	0.381	G	300.0				1	100G	[Wheatmeal biscuits with caramel, covered in milk chocolate, www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/202/5000168079202/IDShot_90x90.jpg	Mcvities Milk Chocolate Caramel Digestives 300G	1.5	53909072	0.5
6	0.145	G	125.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[Milk Chocolates Flavoured with Real Orange.]	http://img.tesco.com/Groceries/pi/910/7622210378910/IDShot_90x90.jpg	Terrys Chocolate Orange 125G	1.0	78775806	8.0
7	0.168	G	150.0				1	100G	[Milk cooking chocolate]	http://img.tesco.com/Groceries/pi/453/5018374352453/IDShot_90x90.jpg	Tesco Milk Cooking Chocolate 150G	0.8	51673012	0.533
8	0.175	G	150.0				1	100G	[White cooking chocolate]	http://img.tesco.com/Groceries/pi/981/5018374572981/IDShot_90x90.jpg	Tesco White Cooking Chocolate 150G	0.8	51918882	0.533
9	0.107	G	100.0	False			1	100G	[Milk cooking chocolate, No artificial preservatives, flavours or colours]	http://img.tesco.com/Groceries/pi/300/5000358271300/IDShot_90x90.jpg	Tesco Everyday Value Cooking Chocolate Milk 100G	0.35	50869825	0.35
10	0.121	G	120.0				1	100G	[www.milkybar.co.uk, www.facebook.com/milkybar, Good to remember, Enjoying chocolate as part of a varied, balanced diet and a healthy lifestyle, is one of life's little pleasures.]	http://img.tesco.com/Groceries/pi/638/7613034553638/IDShot_90x90.jpg	Milkybar White Chocolate Bar 120G	1.0	64159037	0.833
11	0.142	G	100.0				1	100G	[Fine dark chocolate]	http://img.tesco.com/Groceries/pi/363/3046920028363/IDShot_90x90.jpg	Lindt Excellence 85% Cocoa Dark Chocolate Bar 100G	1.99	55330493	1.99
12	0.191	G	150.0				1	100G	[White Chocolate, Creamy White Chocolate]	http://img.tesco.com/Groceries/pi/452/5052109944452/IDShot_90x90.jpg	Tesco Rainforest Alliance White Chocolate Bar 150G	0.75	57979465	0.5
13	0.259	G	236.5				1	100G	[Milk chocolate finger]	http://img.tesco.com/Groceries/pi/215/7622210989215/IDShot_90x90.jpg	Cadbury Dairy Milk Twirl Chocolate Bars X11 236.5G	2.5	80965280	1.06
14	0.187	G	138.0				1	100G	[Crisp Biscuits Covered with Cadbury Milk Chocolate., Did you know that Cadbury Dairy Milk, fingers are great to dunk?, Do you bite off one end & dunk slowly? Or are you a dunk in one kind of person? #FreetheJoy]	http://img.tesco.com/Groceries/pi/599/0072417161599/IDShot_90x90.jpg	Cadbury Fingers Milk Chocolate 138G	1.55	80930062	1.13
15	0.115	G	89.0				1	100G	[Milk Chocolate coated caramel wafer bars, Milk Chocolate coated caramel wafer bars]	http://img.tesco.com/Groceries/pi/517/5051898355517/IDShot_90x90.jpg	Tesco Everyday Value Caramel Wafer Biscuit 5 Pack 89G	0.4	57635446	0.449
