	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.113	ML	828.0				1	LITRE	[Multi-Surface Surface Cleaner Pomegranate]	http://img.tesco.com/Groceries/pi/775/0817939011775/IDShot_90x90.jpg	Method All Purpose Cleaner Limited Edition 828Ml	3.0	78041166	3.63
1	0.233	SNGL	3.0				1	EACH		http://img.tesco.com/Groceries/pi/990/5000325018990/IDShot_90x90.jpg	Oust All Purpose Descaler 3 Pack	1.5	55881024	0.5
2	0.81	ML	709.0				1	LITRE	[Toilet Cleaner Spearmint]	http://img.tesco.com/Groceries/pi/529/0817939012529/IDShot_90x90.jpg	Method Toilet Cleaner Spearmint 709Ml	3.0	72162619	4.24
3	0.475	SNGL	84.0				1	EACH	[Cleansing Surface Wipes, Dettol Anti Bacterial Surface Cleanser is proven to kill, Bacteria, E.coli, S.aureus, Listeria, Campylobacter, Paeruginosa, MRSA, Salmonella, Viruses, Influenza   Type A H1N1, Dettol Anti Bacterial Surface Cleanser is proven to remove, Allergens, Pollen particles, dust mites, pet dander, If you like this product, why not also try Dettol Cleansing Floor Wipes   Anti bacterial wipes specially designed for use on floors., Trusted by doctors* to kill bacteria, Based on research carried out by IPSOS with 210 doctors, a majority of GPs questioned agreed that they trusted Dettol Surface Cleanser to kill bacteria, For ingredients:, www.rbeuroinfo.com, www.sustainable cleaning.com, www.happier homes.com]	http://img.tesco.com/Groceries/pi/007/5011417563007/IDShot_90x90.jpg	Dettol Surface Cleanser Wipes Lime And Mint 84S	4.0	78720100	0.048
4	0.822	ML	739.0				1	LITRE	[Wood Floor Cleaner, For detailed ingredients go to methodhome.com]	http://img.tesco.com/Groceries/pi/354/0817939005354/IDShot_90x90.jpg	Method Wood Floor Cleaner Almond 739Ml	4.0	60513552	5.42
5	0.685	SNGL	126.0		True	Half Price Was £6.00 Now £3.00	1	EACH	[Cleansing Surface Wipes, For ingredients: www.rbeuroinfo.com, www.sustainable cleaning.com, www.happier homes.com]	http://img.tesco.com/Groceries/pi/687/5011417563687/IDShot_90x90.jpg	Dettol Surface Cleanser Wipes Original 126S	3.0	78720215	0.024
6	0.849	ML	750.0				1	LITRE	[Grease & Sparkle, Get trigger happy with this seriously powerful Cillit Bang Grease & Sparkle, and remove grease, food stains and baked on food in seconds, Bang Power designed for: Cutlery, plates, oven hobs, dishes, pots and pans, work tops, refrigerators, stainless steel, tiles, grills, cupboards, appliances, doors, extractor hoods, metal venetian blinds, bins, garden furniture, bicycles, car rims, marble, granite and natural stone surfaces, glass (rinse after use), www.rbeuroinfo.com, www.happier homes.com]	http://img.tesco.com/Groceries/pi/720/5011417561720/IDShot_90x90.jpg	Cillit Bang Grease And Sparkle Spray 750Ml	3.0	51069146	4.0
7	0.385	SNGL	15.0				1	EACH	[15 wipes, Kills 99.9% of bacteria, Cuts through grease & dirt, Twenty Four Hour]	http://img.tesco.com/Groceries/pi/305/5052109804305/IDShot_90x90.jpg	Tesco Antibacterial Floor Wipes Apple 15Pack	1.25	70440271	0.083
8	0.975	ML	828.0				1	LITRE	[Lavender Multi Purpose Cleaner]	http://img.tesco.com/Groceries/pi/248/0817939005248/IDShot_90x90.jpg	Method All Purpose Cleaner Lavender 828Ml	3.0	66797499	3.63
9	0.578	ML	500.0				1	LITRE	[Tesco Stainless Steel Cleaner 500ml, STREAK FREE CLEANING, REMOVES GREASE, GRIME AND LIMESCALE, FORMULATED FOR METAL SURFACES, BL387/1]	http://img.tesco.com/Groceries/pi/548/5054775349548/IDShot_90x90.jpg	Tesco Stainless Steel Cleaner 500Ml	2.0	80579679	4.0
