	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.05	L	1.0				1	100ML	[Soya Alternative to Dairy Milk with added Calcium and Vitamins B2 (Riboflavin), B12 and D, Alternative to Dairy Milk with added calcium and vitamins]	http://img.tesco.com/Groceries/pi/372/5052909068372/IDShot_90x90.jpg	Tesco Free From Fresh Sweetened Soya Milk Alternative 1 Litre	1.1	70900355	0.11
1	0.172	L	1.0		True	Save 80p Was £1.80 Now £1.00	1	LITRE	[Hazelnut drink with added calcium and vitamins., Good for the planet, Alpro® drinks use less land and water and generate less CO2 than dairy milk., Caring for People & Planet, A varied, balanced diet and a healthy lifestyle is recommended for good health., Like us even more on www.alpro.com, More delicious recipes on www.alpro.com/creativekitchen]	http://img.tesco.com/Groceries/pi/866/5411188110866/IDShot_90x90.jpg	Alpro Fresh Hazelnut Milk Alternative 1 Litre	1.0	71034969	1.0
2	1.356	L	1.0				1	LITRE	[UHT Skimmed Milk, British UHT Skimmed Milk]	http://img.tesco.com/Groceries/pi/928/5000119115928/IDShot_90x90.jpg	Tesco Skimmed Longlife Milk 1L	0.9	50435446	0.9
3	0.259	G	236.5				1	100G	[Milk chocolate finger]	http://img.tesco.com/Groceries/pi/215/7622210989215/IDShot_90x90.jpg	Cadbury Dairy Milk Twirl Chocolate Bars X11 236.5G	2.5	80965280	1.06
4	0.265	G	250.0				1	KG	[Reduced fat spread (59%) made with a blend of vegetable oils and avocado oil (24%)]	http://img.tesco.com/Groceries/pi/389/5054775467389/IDShot_90x90.jpg	Tesco Avocado Spread 250G	1.2	80728622	4.8
5	0.432	ML	383.0		True	Save 50p Was £1.50 Now £1.00	1	LITRE		http://img.tesco.com/Groceries/pi/339/4015600902339/IDShot_90x90.jpg	Fairy Antibacterial Eucalyptus Wash Up Liquid 383Ml	1.0	75790320	2.62
6	0.942	ML	820.0		True	Save 50p Was £2.00 Now £1.50	1	LITRE		http://img.tesco.com/Groceries/pi/116/4084500908116/IDShot_90x90.jpg	Fairy Washing Up Liquid Apple Orchard 820Ml	1.5	72203526	1.83
7	3.143	L	2.905				1	LITRE		http://img.tesco.com/Groceries/pi/254/4084500310254/IDShot_90x90.jpg	Fairy Fabric Conditioner 2.905 Litre 116 Wash	7.5	77056231	2.59
8	0.706	ML	615.0		True	Save 50p Was £2.00 Now £1.50	1	LITRE		http://img.tesco.com/Groceries/pi/509/4084500900509/IDShot_90x90.jpg	Fairy Platinum Original Washing Up Liquid 615Ml	1.5	75900278	2.44
9	0.125	G	125.0	False			1	100G	[Coconut Milk Yoghurt Alternative Vanilla]	http://img.tesco.com/Groceries/pi/277/5060298880277/IDShot_90x90.jpg	Coyo Dairy Free Coconut Milk Yoghurt Vanilla 125G	2.0	77785986	1.6
10	1.5	G	500.0				1	KG	[35% Low fat spread with added plant stanols, Love the Taste or your money back., We think you will love the taste of Benecol Light. If not, we'll give you your money back. Open to UK, CI, IoM & ROI, 18+. Claimants must provide original till receipt showing purchase of Benecol Light between 01.05.16 and 30.11.16 plus a short statement (approx.15 words) as to why they did not love the taste of the product. Max. one claim per household. Final date for receipt of claims 09.12.16. Refunds will be made by cheque. Max refund value £3.64/€6.79 + 2nd class postage. Claimants' statutory rights are not affected. Visit www.benecol.co.uk/lovethetaste for how to claim and full T&Cs.]	http://img.tesco.com/Groceries/pi/359/7640107200359/IDShot_90x90.jpg	Benecol Light Spread 500G	3.5	56163337	7.0
11	0.125	G	250.0	False			1	100G	[Coconut Milk Yoghurt Alternative Natural]	http://img.tesco.com/Groceries/pi/569/0793573729569/IDShot_90x90.jpg	Coyo Dairy Free Milk Coconut Yoghurt Natural 250G	3.5	77558604	1.4
12	0.995	L	2.0				1	100ML	[Vanilla Dairy Ice Cream.]	http://img.tesco.com/Groceries/pi/702/5026646020702/IDShot_90x90.jpg	Kelly's Cornish Vanilla Dairy Ice Cream 2 Litres	4.0	56044058	0.2
13	1.0	ML	1000.0				1	LITRE	[UHT standardised whole filtered dairy drink, For details of the entire Lactofree range visit: lactofree.co.uk, The Joy of Dairy, We love dairy. Ice cold delicious milk on cereal, hot buttery toast, fresh cream on strawberries   it's all good. Dairy's rich in calcium and Vitamin B12., Unfortunately, it's also rich in lactose, a sugar that up to 15% of the UK population are intolerant to., What is Lactose Intolerance?, Lactose intolerance is caused by the body's inability to break down lactose, causing nausea, stomach cramps, and bloating. Whilst alternative 'milks' made from substitutes may be lactose free, they also lack the goodness** found in dairy., To find out if you might be lactose intolerant, take our quick test at lactofree.co.uk/discovery/]	http://img.tesco.com/Groceries/pi/907/5000181030907/IDShot_90x90.jpg	Lactofree Longlife Whole Milk 1L	1.3	61720028	1.3
14	1.05	L	1.0		True	Save 20p Was £1.40 Now £1.20	1	LITRE	[Non-dairy Rice Drink with coconut, For further advice visit mydairyfreedream.com, Get social and join our friendly community, Visit www.mydairyfreedream.com, for delicious recipes and news., Facebook: facebook.com/mydairyfreedream]	http://img.tesco.com/Groceries/pi/018/5425000191018/IDShot_90x90.jpg	Coconut Dream Original Plus Calcium Milk Alternative 1 Litre	1.2	78255950	1.2
15	0.124	G	100.0		True	Any 3 for £2.00	1	100G	[Belgian Chocolate Mousse. Made with West Country whipping cream & dark Belgian chocolate., Tesco Finest Belgian Chocolate Mousse. Made with West Country whipping cream and dark Belgian chocolate]	http://img.tesco.com/Groceries/pi/960/5051898252960/IDShot_90x90.jpg	Tesco Finest Belgian Chocolate Mousse 100G	0.75	62016319	0.75
16	0.233	G	200.0				1	KG	[Kosher Sliced Mild White Cheddar Cheese, Conforming to the requirements of the Rabbinate of the Union of Orthodox Hebrew Congregations   London., Under the supervision of the Rabbinate of the Union of Orthodox Hebrew Congregations London.]	http://img.tesco.com/Groceries/pi/136/5027136000136/IDShot_90x90.jpg	Chevington Mild Cheddar Cheese Sliced 200G	2.15	61273009	10.75
17	0.338	G	280.0		True	Better Than Half Price Was £2.40 Now £1.00	1	100G	[4 x Smooth & Creamy Dessert made with Melted Cadbury Milk Chocolate]	http://img.tesco.com/Groceries/pi/771/4025500175771/IDShot_90x90.jpg	Cadbury Pots Of Joy 4 Pack Dairy Milk Chunk 4 X 70G	1.0	73589159	0.357
