	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.457	G	500.0				1	100G	[Layered dessert made with mascarpone cheese, coffee sauce, savoiardo style sponge and Marsala wine., Creamy dessert made with a layer of coffee soaked sponge topped with thick and creamy mascarpone cheese and Marsala wine, dusted with cocoa powder]	http://img.tesco.com/Groceries/pi/279/5000436532279/IDShot_90x90.jpg	Tesco Tiramisu 500G	2.0	54465542	0.4
1	0.603	ML	900.0	False	True	Half Price Was £3.49 Now £1.74	1	100ML	[Vanilla flavour and strawberry ice cream with strawberry sauce (15%) and topped with meringue pieces coated with white chocolate (1.5%)., For more dessert inspiration www.facebook.com/cartedor, www.icecreamjoy.com]	http://img.tesco.com/Groceries/pi/045/8712100495045/IDShot_90x90.jpg	Carte D'or Eton Mess Ice Cream Dessert 900Ml	1.74	76188358	0.193
2	0.533	ML	900.0				1	100ML	[Strawberry ice cream with strawberry pieces (9%)., www.facebook.com/cartedor, www.sharehappy.com]	http://img.tesco.com/Groceries/pi/884/8712566384884/IDShot_90x90.jpg	Carte D'or Strawberry Ice Cream Dessert 900Ml	3.25	71179665	0.361
3	0.213	G	180.0		True	Any 10 for £3.00	1	100G	[Creamy dairy rice with smooth salted caramel flavour sauce (15%), # WordToYourMuller]	http://img.tesco.com/Groceries/pi/374/4025500200374/IDShot_90x90.jpg	Muller Rice Salted Caramel 180G	0.55	80746810	0.306
4	0.068	G	375.0				1	100G	[Strawberry jelly topped with a vanilla custard, Strawberry jelly topped with a vanilla custard]	http://img.tesco.com/Groceries/pi/665/5054402788665/IDShot_90x90.jpg	Tesco Everyday Value Jelly And Custard 3 X 125G	0.9	78590143	0.24
5	23.0	G	138.0		True	Any 2 for £2.50	1	100G	[Toffee mousse, Belgian plain chocolate topping, biscuit crumb and sea salted toffee sauce, topped with gold coloured milk chocolate coated honeycomb pieces., A layered dessert of toffee mousse and rich Belgian plain chocolate topping on a base of biscuit crumb and sea salted toffee sauce, topped with gold coloured milk chocolate coated honeycomb pieces.]	http://img.tesco.com/Groceries/pi/285/5054269051285/IDShot_90x90.jpg	Tesco Fin Belgian Chocolate Salted Caramel Millionaires 138G	1.6	78775184	1.16
6	0.31	G	360.0	False			1	100G	[Chocolate Mousse, light chocolate mousse, delicious and bubbly]	http://img.tesco.com/Groceries/pi/911/5054402850911/IDShot_90x90.jpg	Tesco Healthy Living Chocolate Mousse 6X60 G	0.7	54984889	0.194
7	0.204	G	200.0	False			1	100G	[Sponge fingers with a sugar topping, Crisp sponge fingers coated with a sprinkling of sugar, perfect for making tiramisu]	http://img.tesco.com/Groceries/pi/332/5000119639332/IDShot_90x90.jpg	Tesco Sponge Fingers 200G	0.89	50961122	0.445
8	0.393	G	340.0				2	100G	[4 x Toffee flavour dairy desserts with milk chocolate coated digestive biscuit balls (17%)]	http://img.tesco.com/Groceries/pi/761/4025500189761/IDShot_90x90.jpg	Muller Corner Pud. Toffee Digestive 4X85g	2.0	78760173	0.588
9	0.4	G	360.0				1	100G	[Tropical fruit snack, fruit smoothie snacks]	http://img.tesco.com/Groceries/pi/748/5052320853748/IDShot_90x90.jpg	Tesco Goodness Tropical Slurpers 4X90g	1.75	67998749	0.486
