	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.467	G	225.0				1	KG	[Pear quarters in pear juice]	http://img.tesco.com/Groceries/pi/945/5000119226945/IDShot_90x90.jpg	Tesco Pear Quarters In Natural Juice 410G	0.75	50649153	3.34
1	0.458	G	250.0				1	KG	[Peach slices in grape juice.]	http://img.tesco.com/Groceries/pi/394/5000119105394/IDShot_90x90.jpg	Tesco Peach Slices In Juice 410G	0.55	50366280	2.2
2	0.967	ML	850.0		True	Any 2 for £3.50	1	100ML	[100% Pure Pressed Pineapple Juice, Enjoy Tropicana as part of a varied and balanced diet and healthy lifestyle., Find out more at tropicana.co.uk]	http://img.tesco.com/Groceries/pi/127/5022313321127/IDShot_90x90.jpg	Tropicana Pineapple Juice 850Ml	2.48	78498466	0.292
3	1.094	L	1.0		True	Any 4 for £3.50	1	100ML	[Pure grapefruit juice from concentrate., Only the best quality fruit makes the grade for our juices. We squeeze or press it only when it’s perfectly ripe and at its tastiest. Concentrating the juice reduces the amount we transport, which means it’s better for the environment. Then we replace the water later, and pasteurise the juice. Nothing but water is added or taken away &#8211; so you get nothing but the full flavour of delicious sun drenched fruit.]	http://img.tesco.com/Groceries/pi/329/5051140367329/IDShot_90x90.jpg	Tesco Pure Grapefruit Juice 1 Litre	1.0	50314889	0.1
4	1.092	ML	1000.0				1	100ML	[Orange juice., We don't add anything to our not from concentrate juice and we don't take anything away. We simply select the best quality fruit from around the world, squeeze or press it when it's perfectly ripe and pasteurise the juice, so it's safe to drink and keeps for longer. Then it's carefully packed, ready for all the family to enjoy   sweet, delicious and bursting with pure fruit flavour.]	http://img.tesco.com/Groceries/pi/033/5051622979033/IDShot_90x90.jpg	Tesco 100% Smooth Orange Juice Not From Concentrate 1 Litre	1.48	62546626	0.148
5	0.429	G	400.0				1	KG	[Chopped tomatoes in tomato juice]	http://img.tesco.com/Groceries/pi/451/5000436408451/IDShot_90x90.jpg	Tesco Everyday Value Chopped Tomatoes 400G	0.31	54270196	0.775
6	1.265	ML	750.0		True	Any 2 for £2.00	1	100ML	[Mango & Papaya Fruit Juice Drink, Made from oranges, apples, mangoes and papayas., Say Yes to the Best., Everyone in the Del Monte family is passionate about juice. From our growers in distant plantations to the specialist bottlers who make it just so, we're all determined to bring you the tastiest juice drinks possible. Our secret? We use sun ripened mangoes & papayas that are hand picked only when they're bursting with the most flavour. That's how we capture a taste that's as delicious as the day the fruit was picked, 100 Years of being the fruit experts., For more than a century Del Monte have been the fruit experts. And we're still as passionate and enthusiastic about making quality juice drinks as ever. That's why we know you'll enjoy this drink as much as we enjoyed making it for you., We only say yes to the best... so you can too, Passionate about fruit., The Man from Del Monte has been busy, searching the world for the finest fruit... The result? Our tastiest range ever  So why not enjoy the fruits of the Man from Del Monte's labours and pour yourself a delicious glass of Mango & Papaya Juice Drink., Passionate about the planet., At Del Monte we're committed to farming practices that are both ethical and eco friendly. Working closely with growers around the globe, we promote sustainable agriculture and help protect the environment*., *To learn more please contact www.delmontejuice.com]	http://img.tesco.com/Groceries/pi/484/5010663807484/IDShot_90x90.jpg	Del Monte Mango And Papaya Juice Drink 1 Litre	1.4	56389577	0.187
7	1.607	ML	1750.0				1	100ML	[100% Pure Squeezed Orange Juice with Extra Juicy Bits, Enjoy Tropicana as part of a varied and balanced diet and healthy lifestyle., Find out more at tropicana.co.uk]	http://img.tesco.com/Groceries/pi/887/5022313173887/IDShot_90x90.jpg	Tropicana Orange Juice Extra Juicy Bits 1.75L	3.5	71214100	0.2
8	1.096	ML	1000.0		True	Any 2 for £2.00	1	100ML	[Tomato Juice, Quality., Say Yes to the Best., Everyone in the Del Monte family is passionate about juice. From our growers in distant plantations to the specialist bottlers who make it just so, we're all determined to bring you the tastiest juices possible. Our secret? We use sun ripened tomatoes that are hand picked only when they're bursting with the most flavour. That's how we capture a taste that's as delicious as the day the fruit was picked, 100 Years of being the fruit experts., For more than a century Del Monte have been the fruit experts. And we're still as passionate and enthusiastic about making quality juices as ever. That's why we know you'll enjoy this drink as much as we enjoyed making it for you., We only say yes to the best... so you can too, Passionate about fruit., The Man from Del Monte has been busy, searching the world for the finest fruit... The result? Our tastiest range ever  So why not enjoy the fruits of the Man from Del Monte's labours and pour yourself a delicious glass of Tomato Juice., Passionate about the planet., At Del Monte we're committed to farming practices that are both ethical and eco friendly. Working closely with growers around the globe, we promote sustainable agriculture and help protect the environment.*, *To learn more please contact www.freshdelmonte.com]	http://img.tesco.com/Groceries/pi/408/5010663807408/IDShot_90x90.jpg	Del Monte Tomato Juice 1 Litre	1.4	67606420	0.14
9	1.147	L	1.0		True	Any 4 for £3.50	1	100ML	[Cherry juice drink., Only the best tasting fruit make it into our thirst quenching juice drinks. We squeeze or press it when it’s perfectly ripe, then blend the concentrated juice with selected ingredients and pasteurise it. Then it’s carefully packed, ready for all the family to enjoy &#8211; deliciously refreshing and full of sun drenched flavour.]	http://img.tesco.com/Groceries/pi/390/5053947928390/IDShot_90x90.jpg	Tesco Cherry Juice Drink 1Ltr	1.0	76163249	0.1
