	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	3.4	L	3.0				1	LITRE	[Washing Liquid Original, Ariel washing liquid with pre treat cap gives you outstanding stain removal in the first wash. The pre treat cap, with its flexible fins and spreading surface allows you to pre treat, scrub, remove stains and also to dose the detergent precisely. Although Ariel is tough on stains, it is very gentle on clothes. Unlike washing powder, Ariel washing liquid gets to work right at the heart of the wash, for perfectly clean laundry pour some liquid on a stain, spread and scrub with the pre treat cap, and put your clothes in your washing machine. For best results, insert the cap filled with the detergent into the washing machine drum. For an extra boost of freshness and softness, use together with Lenor fabric conditioners and Unstoppables. 60 washes based on 50ml per wash.]	http://img.tesco.com/Groceries/pi/727/4084500812727/IDShot_90x90.jpg	Ariel Bio. Washing Liquid 60 Washes 3L	13.0	79650941	4.34
1	0.763	WASH	20.0				1	WASHES	[Tesco Ambience orange blossom & pomegranate, capsule detergent]	http://img.tesco.com/Groceries/pi/904/5052910719904/IDShot_90x90.jpg	Tesco Ambience Orange Blossom Liquid Capsules 20W	3.25	73373800	0.163
2	2.785	KG	2.6		True	Save £4.00 Was £9.00 Now £5.00	1	KG		http://img.tesco.com/Groceries/pi/370/4084500137370/IDShot_90x90.jpg	Bold Washing Powder Lavender And Camomile 40 Washes 2.6Kg	5.0	75847306	1.93
3	1.952	KG	1.43		True	Save £1.50 Was £6.00 Then £5.00 Now £4.50	1	KG		http://img.tesco.com/Groceries/pi/941/4015600893941/IDShot_90x90.jpg	Fairy Non Bio. Washing Powder 1.43Kg 22 Washes	4.5	55204303	3.15
4	0.046	SNGL	10.0				1	EACH	[10 sheets, Brightens Whites and Prevents Greying in the Wash, Bleach free formula]	http://img.tesco.com/Groceries/pi/038/5054268816038/IDShot_90x90.jpg	Tesco Whitener Sheets 10 Sheets	1.0	77301172	0.1
5	1.489	L	1.5		True	Any 2 for £2.50	1	LITRE	[Tesco Summer Fresh Fabric Conditioner 1.5L, With Scent Release, Guaranteed 2 week Freshness.]	http://img.tesco.com/Groceries/pi/417/5052004466417/IDShot_90x90.jpg	Tesco Fabric Conditioner Summer Fresh 1.5L	1.5	60170376	1.0
6	1.633	KG	1.5		True	Save £3.00 Was £10.00 Now £7.00	1	KG	[Family pack, Amazing stain removal 1st time, Just add one scoop to every wash, Wash your laundry at 30°C and get the same stain removal results as at higher temperatures. A cool way to save energy., www.happier homes.com, An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu, For ingredient information www.rbeuroinfo.com]	http://img.tesco.com/Groceries/pi/910/5011417542910/IDShot_90x90.jpg	Vanish Oxi Action Stain Remover Powder 1.5Kg	7.0	50290817	4.67
7	1.387	L	1.16		True	Save £1.00 Was £3.00 Now £2.00	1	LITRE	[Creations Fabric Conditioner Strawberry 33 Wash, An A.I.S.E. voluntary sustainability initiative   www.cleanright.eu, Like me on facebook]	http://img.tesco.com/Groceries/pi/808/8712561488808/IDShot_90x90.jpg	Comfort Creations Strawberry Fabric Conditioner 33 Wash 1.16L	2.0	66332059	1.73
8	0.342	ML	250.0				1	LITRE	[Washing machine cleaner, Another Quality, ACDOCO, Product, www.acdoco.com]	http://img.tesco.com/Groceries/pi/507/5010287483507/IDShot_90x90.jpg	Dr Beckmann Service It Machine Cleaner	3.3	64207459	13.2
9	0.811	ML	630.0				1	LITRE	[Tesco Bio liquid detergent super concentrated 630ml, Brilliant cleaning, keeping whites bright]	http://img.tesco.com/Groceries/pi/208/5052909143208/IDShot_90x90.jpg	Tesco Super Concentrated Biological Liquid 630Ml	2.0	61027924	3.18
10	0.52	ML	450.0				1	LITRE	[Tesco Original Washing Up Liquid 450ml, Amazing grease removal, Leaves a sparkling finish, Our best bubbles yet]	http://img.tesco.com/Groceries/pi/193/5054402078193/IDShot_90x90.jpg	Tesco Original Wash Up Liquid 450Ml	0.5	77618402	1.12
11	2.013	L	1.9				1	LITRE		http://img.tesco.com/Groceries/pi/321/4084500289321/IDShot_90x90.jpg	Lenor Fabric Conditioner Spring 76 Washes 1.9L	5.0	77092014	2.64
12	1.073	SNGL	20.0				1	EACH	[Tesco bio 20 detergent capsules. Brilliant cleaning with stain prevention, system, keeping whites brighter.]	http://img.tesco.com/Groceries/pi/617/5051277672617/IDShot_90x90.jpg	Tesco Bio. Liquid Capsules 20'S	3.25	60386471	0.163
13	1.033	ML	875.0				1	LITRE	[Non-Biological Liquid Detergent for Fabrics, If you need a Stain Eraser Ball please visit www.persil.co.uk/dosing, An A.I.S.E. voluntary sustainability initiative   www.cleanright.eu, Persil believes that Dirt is Good  Spending time in the great outdoors helps kids develop important skills and enables hands on learning, although we understand that finding the time and inspiration isn't always easy., That's why with every 70 wash powder, and 25, 40 and 60 wash liquid we are letting you know about the new FREE Persil Wild Explorers app  It's jam packed with more than 100 activity ideas, for the perfect companion to outdoor play this summer. Download from the iOS App Store and Android Google Play Store NOW, To be in with the chance to WIN the ultimate family adventure break where the whole family can experience dirt being good, visit www.dirtisgood.com/uk/wildwin., Open to UK and IE residents 18+. Family weekend includes 3 nights for up to 2 adults and 4 children. Locations spread across the UK. Flights will be provided for winners from Ireland, other transport not included. Winners selected at random. Closing date for entries 31/12/2016. Weekends to be booked in advance within 12 months, subject to availability. For full T&Cs: www.dirtisgood.com/uk/terms.]	http://img.tesco.com/Groceries/pi/219/8711700833219/IDShot_90x90.jpg	Persil Small And Mighty Non Bio. 25 Wash 875Ml	7.0	74100472	8.0
14	1.388	L	1.1				1	LITRE		http://img.tesco.com/Groceries/pi/020/4084500245020/IDShot_90x90.jpg	Lenor Fabric Conditioner Summer Breeze 1.1L	3.0	62811036	2.73
