	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.0	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/008/9772040236008/IDShot_90x90.jpg	Eat In	2.7	81067961	2.7
1	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/160/9771362288160/IDShot_90x90.jpg	Ok!	2.0	81051032	2.0
2	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/112/9771470272112/IDShot_90x90.jpg	Go Girl	3.99	81036226	3.99
3	1.0	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/306/9770017181306/IDShot_90x90.jpg	Golf Monthly	4.99	81102868	4.99
4	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/245/9770957494245/IDShot_90x90.jpg	Empire	4.5	81081874	4.5
5	0.733	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/205/9770968838205/IDShot_90x90.jpg	Shout	4.99	51580853	4.99
6	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/992/9772052330992/IDShot_90x90.jpg	Sofia The First	3.99	81037133	3.99
7	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/997/9772051569997/IDShot_90x90.jpg	Simply Crochet	5.99	81104808	5.99
8	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/299/9770954939299/IDShot_90x90.jpg	Thomas And Friends	3.99	81037231	3.99
9	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Healthy Food Guide	3.2	81068038	3.2
10	1.0	SNGL	1.0	True			1	EACH		http://img.tesco.com/Groceries/pi/953/9771740149953/IDShot_90x90.jpg	Pink	3.65	81036900	3.65
11	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Lets Get Crafting	8.99	81104250	8.99
12	0.831	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/233/9771464406233/IDShot_90x90.jpg	Real Homes	3.9	53730702	3.9
13	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/145/9770964686145/IDShot_90x90.jpg	Cycling Plus	4.99	81102690	4.99
14	0.918	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/861/9771740149861/IDShot_90x90.jpg	Pink	3.99	55314386	3.99
15	1.0	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/014/9772056777014/IDShot_90x90.jpg	110% Gaming	3.99	81134087	3.99
16	0.82	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Best/Real People Value Pack	1.99	60600656	1.99
