	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.212	G	172.0		True	Any 3 for £3.00	1	KG	[Complementary pet food for adult dogs.]	http://img.tesco.com/Groceries/pi/076/5010394986076/IDShot_90x90.jpg	Pedigree Schmackos 4 Meat Variety 20 Stick 172G	1.65	54790156	9.6
1	0.258	G	240.0				1	100G	[Cooked and sliced chicken, Everyday Value Sliced Chicken. Prepared using meat that complies with our strict welfare and quality standards]	http://img.tesco.com/Groceries/pi/043/5051898889043/IDShot_90x90.jpg	Tesco Everyday Value Sliced Cooked Chicken 240G	2.0	56293578	0.833
2	0.147	G	125.0				1	100G	[A lightly smoked German pork salami, Authentic pork salami, delicately smoked over beechwood chippings, with a hint of garlic]	http://img.tesco.com/Groceries/pi/765/5000358553765/IDShot_90x90.jpg	Tesco German Salami 125G	1.0	50704382	0.8
3	0.09	G	168.0				1	100G		http://img.tesco.com/Groceries/pi/625/5000237112625/IDShot_90x90.jpg	Kp Hula Hoops Meaty 7 X 24G	1.7	67754831	1.02
4	0.267	G	250.0		True	Any 2 for £3.00	1	100G	[Dip/salad of chickpeas with 50% less fat.]	http://img.tesco.com/Groceries/pi/478/7290005307478/IDShot_90x90.jpg	Yarden Houmous Reduced Calories 250G	1.8	61272581	0.72
5	0.155	G	150.0	False			1	100G	[Halal sliced formed and naturally smoked turkey rashers with milk protein.]	http://img.tesco.com/Groceries/pi/471/5060188691471/IDShot_90x90.jpg	Najma Sliced Smoked Turkey Rashers 150G	2.0	71772141	1.34
6	0.143	G	125.0				1	100G	[Sliced, cooked reformed seasoned pork with added water., Gluten free seasoned pork meat loaf.]	http://img.tesco.com/Groceries/pi/019/5054775861019/IDShot_90x90.jpg	Tesco Oven Roasted Haslet 125G	1.0	74411196	0.8
7	0.167	G	125.0		True	Half Price Was £2.50 Now £1.25	1	100G	[Smoked Pork Salami Sausage.]	http://img.tesco.com/Groceries/pi/546/4251097401546/IDShot_90x90.jpg	Peperami Original 5X25g	1.25	50894040	1.0
8	1.989	KG	1.0				3	KG	[Seasoned pork loaf made from chopped and shaped pork cuts with added water., A  meat loaf made with selected herbs and spices.]	http://img.tesco.com/Groceries/pi/000/0214870000000/IDShot_90x90.jpg	Counter Haslet	5.5	51299455	5.5
9	0.25	G	200.0				1	100G	[Smoked dry cured ham . Salami Milano, season pork salami. Salami Ventricina spicy pure pork salami,  Salame Napoli, pork salami with pepper, Sweet air dried smoked Prosciutto, Salami Milano, spicy Ventricina and Salami Napoli]	http://img.tesco.com/Groceries/pi/115/5054402056115/IDShot_90x90.jpg	Tesco Italian Antipasto Selection Platter 200G	4.0	77568074	2.0
10	0.138	G	125.0		True	Any 8 for £3.00	1	100G	[Orange flavour jelly with sugar and sweetener, Like us on Facebook at www.facebook.com/hartleysjelly, Follow us on Twitter @hartleysjelly, Visit our website at www.hartleysfruit.co.uk]	http://img.tesco.com/Groceries/pi/057/0000050126057/IDShot_90x90.jpg	Hartleys Ready To Eat Jelly Orange 125G	0.49	50903837	0.392
