	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.425	G	200.0			50p off Tesco freshcut fruit, prepped veg or salad	1	KG	[Organic Tenderstem Broccoli]	http://img.tesco.com/Groceries/pi/150/0000003234150/IDShot_90x90.jpg	Tesco Organic Tender Stem Broccoli 200G	2.5	73921901	12.5
1	0.144	G	66.0				1	100G	[Organic free range chicken stock cubes, Certified Carbon Neutral® Company, CarbonNeutral.com]	http://img.tesco.com/Groceries/pi/110/5013665103110/IDShot_90x90.jpg	Kallo Organic Chicken Stock Cubes 66G	1.2	56074166	1.82
2	0.493	G	480.0				1	100G	[Fat Free Greek Style Yogurt with Honey]	http://img.tesco.com/Groceries/pi/609/5036589205609/IDShot_90x90.jpg	Yeo Valley 0% Fat Greek Style Honey Yoghurt 4 X 120G	2.0	76625389	0.417
3	1.404	ML	600.0				1	100ML	[Organic apple juice from concentrate.]	http://img.tesco.com/Groceries/pi/848/5000436952848/IDShot_90x90.jpg	Tesco Organic Apple Juice 3X200ml	1.05	55028523	0.175
4	0.228	G	125.0		True	Any 5 for 4 Cheapest Product Free	2	KG	[Spaghetti bolognese, Contains 2 portions of veg†, †go to hipp.co.uk for more info, HiPP Organic products should be enjoyed as part of a varied and balanced weaning diet.]	http://img.tesco.com/Groceries/pi/481/4062300161481/IDShot_90x90.jpg	Hipp Organic Spaghetti 6Mth+ Bolognese 125G	0.85	67312617	6.8
5	0.934	KG	0.8				1	KG	[Organic infant milk, Breastmilk: The best for your baby, During the first few months of life, breastmilk is best because it contains everything your baby needs for healthy development, including long chain polyunsaturated fatty acids (LCPs) and oligosaccharides. These oligosaccharides promote the build up of healthy gut flora, and in this way breastmilk supports your baby from the inside out., Our packaging has been specially designed to be as environmentally friendly as possible; you can also purchase a reusable milk storage box with a scoop holder and built in leveller at hippshop.co.uk.]	http://img.tesco.com/Groceries/pi/008/4062300139008/IDShot_90x90.jpg	Hipp Organic Infant Milk 800G	8.5	65556677	10.63
6	6.553	G	400.0	False		50p off Tesco freshcut fruit, prepped veg or salad	1	KG	[Organic Leeks]	http://img.tesco.com/Groceries/pi/796/0000010054796/IDShot_90x90.jpg	Tesco Organic Leeks 400G	2.0	58333652	5.0
7	0.2	G	200.0				1	KG	[Organic Greek Feta Cheese PDO. Full fat soft cheese made from organic sheep and goats' milk.]	http://img.tesco.com/Groceries/pi/750/5051140455750/IDShot_90x90.jpg	Tesco Organic Greek Feta 200G	2.0	59362022	10.0
8	0.5	ML	500.0				1	100ML	[Organic extra virgin olive oil. Superior category olive oil obtained directly from olives and solely by mechanical means., A fruity, light peppery olive oil with a natural richness. Use for drizzling, dressing and dipping.]	http://img.tesco.com/Groceries/pi/592/5051008878592/IDShot_90x90.jpg	Tesco Organic Extra Virgin Olive Oil 500Ml	2.5	58083858	0.5
9	0.13	G	60.0				1	KG	[Baked corn and potato snack coated with carrot and coriander with added vitamin B1, Colourful facts... Did you know carrots aren't always orange? They can be purple, red, white or yellow too, Do you have a question for us? Join us online for tips, recipes and to share your stories. You'll find us at:, Facebook/organixfood, Twitter@organixbrands, and at www.organix.com or you can call us on 0800 39 35 11 (UK) or 1 800 40 92 78 (ROI)]	http://img.tesco.com/Groceries/pi/301/5024121889301/IDShot_90x90.jpg	Organix Goodies Carrot Stix Multi Pack 4X15g	2.0	59512940	33.34
