	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.135	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/769/9771742498769/IDShot_90x90.jpg	The Times	1.5	55668289	1.5
1	0.416	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/783/0041773936783/IDShot_90x90.jpg	Kodak A4 Ultra Paper 20 Sheets	12.0	72797133	12.0
2	0.049	SNGL	3.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/194/5000462090194/IDShot_90x90.jpg	Tesco Gold Tissue 3 Sheets	1.0	50115382	0.333
3	0.942	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/255/5054269335255/IDShot_90x90.jpg	Tesco Pink/Gold Spot 2 Sheets 2 Tags	1.25	79187896	1.25
4	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/795/5053947644795/IDShot_90x90.jpg	Tesco Purple Tissue 5 Sheets	1.0	74500085	1.0
5	0.1	SNGL	1.0				1			http://img.tesco.com/Groceries/pi/768/9771358586768/IDShot_90x90.jpg	Daily Express	0.85	55366888	0.0
6	0.036	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/982/5000358420982/IDShot_90x90.jpg	Tesco Royal Blue Tissue 5 Sheets	1.0	51065588	1.0
7	0.083	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/387/5054775036387/IDShot_90x90.jpg	Tesco Celebrate Bright Floral 2 Sheets 2 Tags	1.25	80112408	1.25
8	0.033	SNGL	3.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/057/5000462090057/IDShot_90x90.jpg	Tesco Silver Tissue 3 Sheets	1.0	50115192	0.333
9	0.109	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Brights Paper Clips	1.0	76849798	1.0
10	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/251/5053947399251/IDShot_90x90.jpg	Tesco Pink Butterfly Tissue 3 Sheets	1.5	74163840	1.5
11	0.039	G	23.0				1	100G	[Seasoned Cooking Paper for Paprika Chicken., For more great meal ideas go to maggi.co.uk]	http://img.tesco.com/Groceries/pi/349/8585002431349/IDShot_90x90.jpg	Maggi So Tender Paprika Chicken 23G	0.95	74747115	4.14
12	0.517	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/793/5054402302793/IDShot_90x90.jpg	Tesco Go Create Colour Paper Pad 50 Sheet	2.0	77870401	2.0
13	0.027	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/408/5054402141408/IDShot_90x90.jpg	Tesco Bright Pink Spot Tissue 3 Sheets	0.75	77659284	0.75
14	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/241/5054268810241/IDShot_90x90.jpg	Tesco Red Tissue 5 Sheets	1.0	77248799	1.0
15	0.427	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/764/9770307123764/IDShot_90x90.jpg	Daily Telegraph	2.0	56210046	2.0
16	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/657/5054268398657/IDShot_90x90.jpg	Tesco Lilac Tissue 5 Sheets	1.0	76732400	1.0
17	0.1	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/516/9771742498516/IDShot_90x90.jpg	The Times	1.4	50532095	1.4
18	0.933	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/965/9770261307965/IDShot_90x90.jpg	The Guardian	2.9	55416450	2.9
19	0.353	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/441/5053526575441/IDShot_90x90.jpg	Tesco Go Create Coloured Paper	2.5	75592877	2.5
20	0.731	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/412/9770307123412/IDShot_90x90.jpg	Daily Telegraph	1.6	50532331	1.6
21	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/378/5054269335378/IDShot_90x90.jpg	Tesco Clear Film Wrap	1.25	79188019	1.25
22	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/858/5054775037858/IDShot_90x90.jpg	Tesco Neon Tissue Multi 4 Pack	1.0	80113223	1.0
23	0.463	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/270/9770956138270/IDShot_90x90.jpg	Sunday Times	2.5	50706529	2.5
24	0.208	SNGL	1.0				1			http://img.tesco.com/Groceries/pi/473/9770956807473/IDShot_90x90.jpg	Sunday Mirror	1.4	50711874	0.0
25	0.007	SNGL	4.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/897/5054402125897/IDShot_90x90.jpg	Tesco Multi Colours Tag 4 Pack	1.25	77648147	0.313
26	0.72	G	24.0				1	100G	[Seasoned Cooking Paper for Mediterranean Chicken., For more great meal ideas go to maggi.co.uk]	http://img.tesco.com/Groceries/pi/742/8585002432742/IDShot_90x90.jpg	Maggi So Tender Mediterranean Tomato Chicken 24G	0.95	77567450	3.96
27	0.054	SNGL	4.0				1	EACH		http://img.tesco.com/Groceries/pi/909/3501170959909/IDShot_90x90.jpg	Paper Mate Inkjoy 300Rt Fun 4 Pack	3.0	76316369	0.75
28	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/841/5054775037841/IDShot_90x90.jpg	Tesco Neon Pink Tissue 3 Pack	1.0	80113217	1.0
29	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/503/5054268398503/IDShot_90x90.jpg	Tesco Happy Birthday Printed Text Tissue 3 Sheets	1.25	76732256	1.25
30	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/834/5054775037834/IDShot_90x90.jpg	Tesco Neon Orange Tissue 3 Pack	1.0	80113200	1.0
31	0.07	SNGL	1.0				1			http://img.tesco.com/Groceries/pi/713/9770957623713/IDShot_90x90.jpg	Daily Star	0.4	50532072	0.0
32	0.029	SNGL	1.0		True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/865/5054775037865/IDShot_90x90.jpg	Tesco Bright Stripe Tissue 3 Sheets	1.25	80113232	1.25
33	0.166	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Brights Paper Clips Large	1.5	76849815	1.5
34	0.042	SNGL	3.0				1	EACH		http://img.tesco.com/Groceries/pi/474/3501178422474/IDShot_90x90.jpg	Paper Mate Inkjoy 550 Rt Classic Asstd3pk	5.0	76316334	1.67
35	0.029	SNGL	3.0	False	True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/342/5054775316342/IDShot_90x90.jpg	Tesco Pop Geo Harlequin Tissue 3 Pack	1.25	80437485	0.417
36	0.029	SNGL	1.0	False	True	Any 3 for 2 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/727/5054269339727/IDShot_90x90.jpg	Tesco Midnight Blue Stars Tissue 3 Sheets	1.5	79190091	1.5
