	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.2	SNGL	6.0	False			2	EACH	[All butter croissant., Buttery flaky croissant]	http://img.tesco.com/Groceries/pi/000/0280160000000/IDShot_90x90.jpg	All Butter Croissant 6 Pack	1.5	59165820	0.25
1	0.35	G	300.0				1	100G	[Plain, milk and white chocolate chip cookie dough, Plain, Milk and White Chocolate Chip Cookie Dough]	http://img.tesco.com/Groceries/pi/882/5054775908882/IDShot_90x90.jpg	Tesco Triple Chocolate Chip Cookie Dough 300G	1.5	81125956	0.5
2	0.205	G	150.0				1	100G	[Flaky pastry twists with gruyere cheese., Flaky pastry twists with gruyere cheese.]	http://img.tesco.com/Groceries/pi/859/5000436699859/IDShot_90x90.jpg	Tesco Cheese Twists 125G	0.99	54704018	0.66
3	0.218	SNGL	4.0		True	Save 30p Was £1.30 Now £1.00	1	EACH	[4 choux pastry eclairs filled with fresh stabilised cream (38%) and topped with Belgian chocolate fondant (24%)., Fresh Cream eclairs with a delicious Belgian chocolate topping]	http://img.tesco.com/Groceries/pi/215/5050179607215/IDShot_90x90.jpg	Tesco 4 Belgian Chocolate Eclairs	1.0	55395605	0.25
4	0.625	KG	0.6				1	100G	[A combination of apples, redcurrants, blackberries, raspberries and blueberries wrapped in a puff pastry and topped with sugar.]	http://img.tesco.com/Groceries/pi/701/5000119660701/IDShot_90x90.jpg	Tesco Woodland Fruit Strudel 600G	1.0	50994549	0.167
5	0.297	SNGL	6.0				1	EACH	[Pastry cases with a layer of plum and raspberry jam (11%) and almond flavoured sponge (19%), topped with fondant icing (27%) and half a glacé cherry (5%)., #exceedinglygood, @mrkiplingcakes]	http://img.tesco.com/Groceries/pi/386/5000221001386/IDShot_90x90.jpg	Mr Kipling Cherry Bakewells 6 Pack	1.45	50064130	0.242
6	0.171	G	150.0			£1 off Tesco chilled Finest pies Excl dessert pies	1	100G	[Shortcrust pastry base filled with chunks of beef in gravy topped with a puff pastry lid, Crispy puff pastry pie filled with tender chunks of steak in a tasty gravy.]	http://img.tesco.com/Groceries/pi/265/5000436094265/IDShot_90x90.jpg	Tesco Steak Pie 150G	0.65	53788737	0.433
7	0.321	G	260.0			£1 off Tesco chilled Finest pies Excl dessert pies	1	100G	[Seasoned cured pork encased in pastry., 4 Snack Pork Pies made with hot water pastry and filled with seasoned cured meat.]	http://img.tesco.com/Groceries/pi/142/5051277765142/IDShot_90x90.jpg	Tesco 4 Snack Classic Pork Pies 260G	1.5	60477064	0.577
8	0.283	G	233.0	False	True	Save 50p Was £1.50 Now £1.00	1	100G	[Tender pieces of steak and rich gravy, in a light puff pastry case.]	http://img.tesco.com/Groceries/pi/537/5030756001537/IDShot_90x90.jpg	Pukka Pies All Steak Pie 233G	1.0	63161634	0.429
9	0.317	SNGL	6.0				1	EACH	[6 Chocolate Flavour Filled Brioche, Discover our range at www.briochepasquier.co.uk]	http://img.tesco.com/Groceries/pi/808/3256540034808/IDShot_90x90.jpg	Pitch Chocolate 6 Pack	1.7	59868991	0.283
10	0.204	SNGL	2.0				1	EACH	[2 Pastry cases filled with egg custard., Tesco 2 Egg Custard Tarts 2X90g]	http://img.tesco.com/Groceries/pi/609/5018374207609/IDShot_90x90.jpg	Tesco 2 Egg Custard Tarts 2X90g	0.65	51478439	0.325
11	0.1	SNGL	1.0				1	EACH	[Danish pastry with maple syrup filling and pecan nuts., Maple syrup filling in a plait of light, flaky Danish pastry. Topped with pecan nuts.]	http://img.tesco.com/Groceries/pi/423/0000000009423/IDShot_90x90.jpg	Maple And Pecan Plait	0.75	52488443	0.75
