	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.1	G	1000.0				1	100G	[Natural yogurt, Our website is packed with fun stuff & things to win at www.yeovalley.co.uk, Join in..., If you fancy whipping up a storm in the kitchen, there's a tasty recipe waiting for you inside this sleeve., Why not have a look, and if you have any recipe ideas of your own, do let us know by visiting our website www.yeovally.co.uk]	http://img.tesco.com/Groceries/pi/529/5036589200529/IDShot_90x90.jpg	Yeo Valley Natural Yoghurt 1Kg	2.5	56655280	0.25
1	0.417	G	380.0				1	100G	[Delicious Shortbread Fingers, Follow us on Twitter @PatersonSbread, Like us on Facebook]	http://img.tesco.com/Groceries/pi/142/5010745063142/IDShot_90x90.jpg	Paterson's Shortbread Fingers 380G (L)	1.0	56282017	0.263
2	0.155	G	140.0		True	Any 3 for £3.00	1	KG	[Complementary pet food for adult dogs.]	http://img.tesco.com/Groceries/pi/480/5998749115480/IDShot_90x90.jpg	Pedigree Rodeo Chicken 8 Pieces 140G	1.65	65696902	11.79
3	0.196	SNGL	7.0				1	EACH	[Complementary pet food for dogs over 4 months., Celebrate dogs with us on facebook.com/wearefordogs and twitter.com/wearefordogs]	http://img.tesco.com/Groceries/pi/584/5010394984584/IDShot_90x90.jpg	Pedigree Denta Stix Med/Large Dogs 7 Stick	1.75	56537777	0.25
4	0.553	SNGL	1.0	False	True	Half Price Was £1.25 Now 62p	1	EACH	[Medium pot coriander]	http://img.tesco.com/Groceries/pi/492/0000010053492/IDShot_90x90.jpg	Tesco Coriander Medium Pot	0.62	57997380	0.62
5	0.497	G	412.0				1	KG	[Complete pet food for adult dogs.]	http://img.tesco.com/Groceries/pi/069/5000166001069/IDShot_90x90.jpg	Chappie Original 412G	0.6	50540091	1.46
6	2.025	KG	2.0				1	KG	[Complete Pet Food for Adult Cats.]	http://img.tesco.com/Groceries/pi/002/3065891259002/IDShot_90x90.jpg	Whiskas 1+ Dry Cat Food Biscuits Chicken & Veg 2kg	4.5	57506980	2.25
7	0.134	G	120.0				1	100G	[Vanilla flavour yogurt with Oreo cookie crumb (8%)]	http://img.tesco.com/Groceries/pi/719/4025500191719/IDShot_90x90.jpg	Oreo Split Pot 120G	0.75	78861353	0.625
8	0.488	G	450.0		True	Save 50p Was £2.00 Now £1.50	1	100G	[Scottish Raspberry Gourmet Live Yoghurt, Facebook.com/TheCollectiveinUK, @collectivedairy on Twitter, @TheCollectiveUK on Instagram]	http://img.tesco.com/Groceries/pi/436/5014067332436/IDShot_90x90.jpg	The Collective Raspberry Yoghurt 450G	1.5	76874905	0.333
9	0.095	G	60.0				1	KG	[Complementary pet food for adult cats.]	http://img.tesco.com/Groceries/pi/550/5998749108550/IDShot_90x90.jpg	Whiskas Temptations Chicken And Cheese 60G	1.25	51731748	20.84
