	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.308	G	250.0		True	Half Price Was £1.59 Now 79p	1	KG	[Egg Fried Steamed Basmati Rice, Quick & Easy, Rice Recipes & Tips, @ www.tilda.com]	http://img.tesco.com/Groceries/pi/125/5011157888125/IDShot_90x90.jpg	Tilda Steamed Egg Fried Rice 250G	0.79	57504043	3.16
1	0.113	G	100.0				1	100G	[Teriyaki Flavour Rice Crackers]	http://img.tesco.com/Groceries/pi/813/9417986941813/IDShot_90x90.jpg	Snack Organisation Teriyaki Rice Crackers 100G	1.0	79933025	1.0
2	0.696	KG	1.0				1	KG	[Jasmine rice.]	http://img.tesco.com/Groceries/pi/009/5010204438009/IDShot_90x90.jpg	Tesco Thai Fragrant Long Grain Rice 1Kg	1.89	57132321	1.89
3	0.111	G	500.0	False			1	KG	[Join in on our passion for rice and give the recipe here a try. Or get inspired with more recipes on our website www.unclebens.co.uk & www.unclebens.ie, Our perfect rice recipes, Our rice is perfect for many recipes., You'll find simple recipe ideas and many more inspirations on our website www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/643/5410673700643/IDShot_90x90.jpg	Uncle Bens Boil In Bag Basmati Rice 500G	2.73	52739239	5.46
4	0.71	G	375.0		True	Any 3 for £3.00	1	100G	[Golden toasted crisp rice, fortified with vitamins and iron., Golden toasted crisp rice fortified with vitamins & iron+]	http://img.tesco.com/Groceries/pi/486/5054402006486/IDShot_90x90.jpg	Tesco Rice Snaps Cereal 375G	1.2	77546204	0.32
5	0.405	G	380.0		True	Any 2 for £3.00	1	KG	[Steamed long grain rice with Mediterranean style vegetables and seasoning., Forever Food Together, Our commitment to a sustainable future means responsibly sourcing and preparing your food, creating new products that contribute to a balanced diet, and helping everyone to reduce food waste. For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/902/5000116107902/IDShot_90x90.jpg	Birdseye 2 Mediterranean Vegetable Rice 380G	1.75	73570745	4.61
6	0.625	G	600.0				1	KG	[Cooked Long Grain Brown Rice, Long Grain Brown Rice in Sachets]	http://img.tesco.com/Groceries/pi/311/5053526773311/IDShot_90x90.jpg	Tesco Micro Rice Whole Grain Rice 4 X 150G	1.5	75824040	2.5
7	1.0	KG	1.0				1	KG	[Join in on our passion for rice and give the recipe here a try. Or get inspired with more recipes on our website www.unclebens.co.uk & www.unclebens.ie, Our perfect rice recipes, Our rice is perfect for many recipes., You'll find simple recipe ideas and many more inspirations on our website www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/000/5410673004000/IDShot_90x90.jpg	Uncle Bens Long Grain Rice 1Kg	3.96	50021694	3.96
8	1.05	KG	1.0		True	Save £2.46 Was £4.95 Now £2.49	1	KG	[Wholegrain Basmati Rice]	http://img.tesco.com/Groceries/pi/222/5011157671222/IDShot_90x90.jpg	Tilda Basmati Brown Rice 1Kg	2.49	54677888	2.49
9	0.417	G	250.0		True	Any 3 for £3.00	1	KG	[Gently steamed Long Grain Rice with peas, ham and egg, Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/025/3487400010025/IDShot_90x90.jpg	Uncle Bens Express Special Fried Rice 250G	1.78	51248925	7.12
10	0.302	ML	360.0		True	Half Price Was £2.00 Now £1.00	1	100ML	[Strawberry fruit ice and vanilla flavour dairy ice cream in a wafer cone (12%) with chocolate flavour coating (8%), strawberry sauce (5%) and white chocolate pieces (1,5%) on top., www.icecreamjoy.com, Facebook Cornetto]	http://img.tesco.com/Groceries/pi/279/8712100870279/IDShot_90x90.jpg	Cornetto Strawberry Ice Cream Cone 4 X 90Ml	1.0	80845670	0.278
11	0.577	G	500.0				1	KG	[Join in on our passion for rice and give the recipe here a try. Or get inspired with more recipes on our website www.unclebens.co.uk & www.unclebens.ie, Our perfect rice recipes, Our rice is perfect for many recipes., You'll find simple recipe ideas and many more inspirations on our website www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/000/5410673103000/IDShot_90x90.jpg	Uncle Bens Long Grain Rice 500G	2.09	59246293	4.18
12	0.22	G	220.0				1	KG	[Gently steamed Wholegrain Rice & Quinoa with a hint of garlic., In need of little inspiration?, Why not try our Wholegrain Rice with Quinoa with a side of stir fried onion, courgette and carrot, served with oven baked salmon & handful of green peas., Healthy meals begin with our Rice & Grains, we have an array of recipes to share: www. unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/692/5010034002692/IDShot_90x90.jpg	Uncle Bens Wholegrain And Quinoa Rice 220G	1.99	78807540	9.05
13	0.283	G	250.0				1	KG	[Gently steamed long grain rice with egg, ginger and garlic., Share our passion for rice. Get inspired: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/251/5010034001251/IDShot_90x90.jpg	Uncle Ben's Long Classic Rice With Egg 250G	1.78	76296466	7.12
14	0.209	G	159.0				1	100G	[Caramel Flavour Rice and Corn Cakes]	http://img.tesco.com/Groceries/pi/231/5000108884231/IDShot_90x90.jpg	Snack A Jacks Jumbo Caramel 159G	1.79	54635917	1.13
15	0.35	G	300.0	False	True	Save 79p Was £1.79 Now £1.00	1	KG	[Straight to Wok Ribbon Rice Noodles., For more recipe ideas visit: www.Amoy.co.uk.]	http://img.tesco.com/Groceries/pi/006/5010928050006/IDShot_90x90.jpg	Amoy Straight To Wok Ribbon Rice Noodles 2X150g	1.0	67808285	3.34
16	0.847	SNGL	5.0				1	EACH	[Eat Me Bananas]	http://img.tesco.com/Groceries/pi/875/0000010001875/IDShot_90x90.jpg	Tesco Ripe Bananas 5 Pack	0.8	65728590	0.16
17	0.302	ML	360.0		True	Half Price Was £2.00 Now £1.00	1	100ML	[Vanilla flavour dairy ice cream in a wafer cone (12%) with chocolate flavour coating (13%) topped with hazelnut and meringue pieces (2.5%)., www.icecreamjoy.com, Facebook/Cornetto]	http://img.tesco.com/Groceries/pi/822/8712100869822/IDShot_90x90.jpg	Cornetto Classico Ice Cream Cone 4 X 90Ml	1.0	80845552	0.278
18	0.558	G	500.0				1	KG	[Wholegrain Rice, Join in on our passion for rice and get inspired with more recipes on our website www.unclebens.co.uk & www.unclebens.ie, Our perfect rice recipes, Our rice is perfect for many recipes., You'll find simple recipe ideas and many more inspirations on our website www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/545/5410673000545/IDShot_90x90.jpg	Uncle Bens Wholegrain Rice 500G	2.09	51614509	4.18
19	0.283	G	250.0	False	True	Any 3 for £3.00	1	KG	[Gently steamed Long Grain rice with lemon and rosemary, Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/206/5010034522206/IDShot_90x90.jpg	Uncle Bens Express Lemon And Rosemary Rice 250G	1.69	50725633	6.76
20	0.413	G	400.0	False			1	100G	[Low fat creamed rice pudding, Low fat creamed rice pudding]	http://img.tesco.com/Groceries/pi/713/5052910706713/IDShot_90x90.jpg	Tesco Low Fat Rice Pudding 400G	0.39	54213743	0.098
21	0.223	G	180.0				1	100G	[Wholegrain Rice and Corn Snack with Chocolate Flavour and Milk Chocolate Pieces]	http://img.tesco.com/Groceries/pi/646/5000108880646/IDShot_90x90.jpg	Snack A Jacks Jumbo Chocolate Chip 180G	1.79	50925206	0.994
22	0.532	G	450.0		True	Any 2 for £4.00	1	KG	[Cooked marinated chicken breast pieces in a masala sauce made with tomato, cream, cashew nut and spices, served with pilau rice., Tesco Chicken Tikka Masala And Pilau Rice 450G]	http://img.tesco.com/Groceries/pi/407/5054269080407/IDShot_90x90.jpg	Tesco Chicken Tikka Masala And Pilau Rice 450G	2.3	61544853	5.12
23	0.273	G	250.0	False			1	KG	[Steamed Brown Basmati Rice & Quinoa]	http://img.tesco.com/Groceries/pi/706/5011157120706/IDShot_90x90.jpg	Tilda Steamed Brown Basmati And Quinoa 250G	1.59	77280534	6.36
24	0.3	G	250.0		True	Any 3 for £3.00	1	KG	[Gently steamed Long Grain rice with red pepper and chillis., Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/007/5010034516007/IDShot_90x90.jpg	Uncle Bens Express Rice Chinese Style 250G	1.78	54287545	7.12
25	0.283	G	250.0	False	True	Any 3 for £3.00	1	KG	[Gently steamed wholegrain rice with Mediterranean vegetables., Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/307/5010034515307/IDShot_90x90.jpg	Uncle Bens Express Wholegrain Mediterranean Vegetable Rice 250G	1.78	61170563	7.12
26	0.283	G	250.0		True	Any 3 for £3.00	1	KG	[Gently steamed Long Grain Rice with mushroom, Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/205/5010034516205/IDShot_90x90.jpg	Uncle Bens Express Mushroom Rice 250G	1.78	58048258	7.12
27	0.273	G	250.0	False			1	100G	[Steamed Wholegrain Basmati & Wild Rice]	http://img.tesco.com/Groceries/pi/662/5011157992662/IDShot_90x90.jpg	Tilda Steamed Wholegrain And Wild Basmati Rice 250G	1.59	79801994	0.636
28	0.283	G	250.0	False	True	Any 3 for £3.00	1	100G	[Gently steamed Wholegrain rice with beans and peppers., Colourful meals begin with our special rice, we have a rainbow of flavours to share:, www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/572/5010034001572/IDShot_90x90.jpg	Uncle Bens Express Wholegrain Spicy Mexican Rice 250G	1.78	78536952	0.712
29	0.385	ML	260.0		True	Any 2 for £3.00	1	100ML	[Fruit Ice Lolly with 5 Fruit Flavoured Segments.]	http://img.tesco.com/Groceries/pi/115/5010238297115/IDShot_90x90.jpg	Rowntrees Fruit Pastilles Lollies 4X65ml	2.0	51767443	0.769
30	0.633	G	600.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[4 Individual Bags of cooked white rice with cooked egg, peas, sweetcorn, onion and a soy sauce dressing, Micro Rice Egg Fried Rice]	http://img.tesco.com/Groceries/pi/707/5053947438707/IDShot_90x90.jpg	Tesco Micro Rice Egg Fried Rice 4 X 150G	1.0	74275696	1.67
31	0.45	G	300.0		True	1 x Vegetable, 1 x Sauce and 1 x Noodle or Rice for £3	1	KG	[Cooked rice noodles dressed in rapeseed oil., Rice Noodles]	http://img.tesco.com/Groceries/pi/768/0000003264768/IDShot_90x90.jpg	Tesco Rice Noodles 300G	1.25	80350546	4.17
32	0.273	G	250.0	False	True	Half Price Was £1.59 Now 79p	1	KG	[Steamed Lemon Basmati Rice, Quick & Easy Rice Recipes & Tips @ www.tilda.com]	http://img.tesco.com/Groceries/pi/323/5011157888323/IDShot_90x90.jpg	Tilda Lemon Basmati Rice 250G	0.79	70653543	3.16
