	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.148	G	110.0		True	Save 49p Was 99p Now 50p	1	KG	[Pasta tubes in a delicious chicken and mushroom flavour sauce.]	http://img.tesco.com/Groceries/pi/266/5000354405266/IDShot_90x90.jpg	Batch Pasta 'N' Sauce Chicken And Mushroom 122G	0.5	50673123	4.55
1	0.044	G	35.0	False	True	Any 4 for £2.00	1	100G	[A four cheese sauce mix with emmental, stilton, mozzarella and parmesan, For more information visit www.colmans.co.uk]	http://img.tesco.com/Groceries/pi/293/5000147027293/IDShot_90x90.jpg	Colmans Four Cheese Sauce Mix 35G	0.8	51659859	2.29
2	0.383	G	195.0		True	Half Price Was £1.45 Now 72p	1	100G	[For simple cooking instructions please visit us at www.sharwoods.com and search for this product.]	http://img.tesco.com/Groceries/pi/664/5000354203664/IDShot_90x90.jpg	Sharwoods Stir Fry Hoi Sin And Spring Onion Sauce 195G	0.72	56922131	0.369
3	0.5	G	420.0				1	KG	[Baked beans in tomato sauce.]	http://img.tesco.com/Groceries/pi/930/5018374350930/IDShot_90x90.jpg	Tesco Baked Beans In Tomato Sauce 420G	0.32	50020453	0.762
4	0.728	G	450.0		True	Save 78p Was £1.78 Now £1.00	1	100G	[Madras sauce. A tomato based sauce with chilli and cumin., For more recipe ideas visit: www.pataks.com]	http://img.tesco.com/Groceries/pi/055/5011308505055/IDShot_90x90.jpg	Pataks Madras Sauce 450G	1.0	53686276	0.222
5	0.5	G	500.0	False			1	100G	[Spicy tomato sauce for pasta with mixed peppers and dried chilli.]	http://img.tesco.com/Groceries/pi/324/5000462121324/IDShot_90x90.jpg	Tesco Spicy Pepper Pasta Sauce 500G	0.79	55030963	0.158
6	0.181	G	180.0		True	1 x Vegetable, 1 x Sauce and 1 x Noodle or Rice for £3	1	KG	[A sweet stir fry sauce made with soy sauce, ginger and lime juice, Chow mein stir fry sauce with soy sauce, ginger & lime juice]	http://img.tesco.com/Groceries/pi/355/0000003264355/IDShot_90x90.jpg	Tesco Chow Mein Stir Fry Sauce 180G	1.0	80281420	5.56
7	0.438	G	190.0				1	100G	[Classic Basil Pesto., Visit sacla.co.uk for recipe ideas.]	http://img.tesco.com/Groceries/pi/109/8001060375109/IDShot_90x90.jpg	Sacla Classic Basil Pesto 190G	2.3	50771681	1.22
8	0.89	G	700.0		True	Save 29p Was £2.29 Now £2.00	1	100G	[Tomato Ketchup., GROWN NOT MADE*, It's our sun ripened tomatoes, along with our passion & knowledge that give our recipe its unique flavour., Grown not made..., No other tomato ketchup tastes quite like it.]	http://img.tesco.com/Groceries/pi/250/0000050457250/IDShot_90x90.jpg	Heinz Top Down Squeezy Tomato Ketchup Sauce 700G	2.0	50174648	0.286
9	0.137	G	108.0		True	Save 49p Was 99p Now 50p	1	KG	[Macaroni pasta in a sumptuous cheese sauce.]	http://img.tesco.com/Groceries/pi/665/5000175412665/IDShot_90x90.jpg	Batchelors Pasta 'N' Sauce Macaroni Cheese 108G	0.5	50845583	4.63
