	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.327	CL	70.0		True	Save £3.00 Was £10.00 Now £7.00	1	LITRE	[Sweet & sour spirit drink]	http://img.tesco.com/Groceries/pi/141/5060045585141/IDShot_90x90.jpg	Sourz Rainbow Ice 70Cl	7.0	79101094	10.0
1	1.31	CL	70.0		True	Save £3.00 Was £10.00 Now £7.00	1	LITRE	[Sweet & Sour Spirit Drink]	http://img.tesco.com/Groceries/pi/024/5060045583024/IDShot_90x90.jpg	Sourz Mango 70Cl	7.0	73780911	10.0
2	1.867	CL	100.0				1	LITRE	[Dark Liqueur, Enjoy simply over ice, or explore more cocktails at www.tiamaria.com]	http://img.tesco.com/Groceries/pi/972/5012523231972/IDShot_90x90.jpg	Tia Maria Coffee Liqueur 1L	20.0	53159647	20.0
3	1.167	CL	70.0		True	Any 2 for £5.00	1	LITRE		http://img.tesco.com/Groceries/pi/213/5010677330213/IDShot_90x90.jpg	Breezer Orange 70Cl	3.3	74276453	4.72
4	1.133	CL	70.0		True	Any 2 for £5.00	1	LITRE		http://img.tesco.com/Groceries/pi/388/5032678002388/IDShot_90x90.jpg	Hooch Lemon 70Cl	3.0	80990116	4.29
5	1.267	CL	70.0				1	LITRE	[The Spirit of France since 1805.  In 1805, Henri Louis PERNOD first created what was to become the most celebrated spirit on the cafe terraces of 19th Century Paris.  Many famous artists, painters, poets and writers discovered its charms and their works included several references to their taste for this new aperitif.  The secret of PERNOD's unique taste is well kept, but its flavour is derived from a distillation of star anise and aromatic plants and herbs.]	http://img.tesco.com/Groceries/pi/316/3047100090316/IDShot_90x90.jpg	Pernod 70Cl	18.0	51194607	25.72
6	0.308	ML	300.0	True			1	100ML	[Aerosol - Cheerful Spirits Cosy Apple & Cinnamon, Easier spray]	http://img.tesco.com/Groceries/pi/187/5000204898187/IDShot_90x90.jpg	Glade Aerosol Cheerful Spirits Apple And Cinnamon 300Ml	1.2	81780041	0.4
7	0.813	CL	35.0				1	LITRE	[Rum, Facebook.com/MalibuUK]	http://img.tesco.com/Groceries/pi/056/5010284100056/IDShot_90x90.jpg	Malibu White Rum With Coconut 35Cl	8.0	51732594	22.86
8	1.8	CL	70.0				1	LITRE	[A Premium Spirit Drink with Caribbean Rum, Spice and other Natural Flavours]	http://img.tesco.com/Groceries/pi/017/5000299223017/IDShot_90x90.jpg	Captain Morgan Original Spiced Gold 70Cl	14.0	63783324	20.0
9	1.333	CL	70.0	False	True	Only £10.00	1	LITRE	[Pumpkin Spice]	http://img.tesco.com/Groceries/pi/122/5011013932122/IDShot_90x90.jpg	Bailey's Pumpkin Spiced Cream Liqueur 70Cl	10.0	81735689	14.29
10	1.075	CL	50.0				1	LITRE		http://img.tesco.com/Groceries/pi/731/3018300004731/IDShot_90x90.jpg	Grand Marnier 50Cl	18.0	52504517	36.0
11	0.904	CL	70.0				1	LITRE	[Vodka, Imperial Vodka Alc 37.5% vol]	http://img.tesco.com/Groceries/pi/664/5018374066664/IDShot_90x90.jpg	Tesco Imperial Vodka 70Cl	10.5	50237911	15.0
12	0.905	SNGL	12.0				1	EACH	[Tesco Free Spirit, 12 Pants Medium 80   110 cm, Discreet underwear for bladder weakness, Odour control for freeshness and confidence, Contoured shape with dry lock core, 5 filled droplets 1 unfilled]	http://img.tesco.com/Groceries/pi/080/5052910754080/IDShot_90x90.jpg	Tesco Free Spirit Pants Medium X12	5.6	72032716	0.467
13	0.975	CL	50.0	False			1	LITRE	[Almond flavour liqueur., Sweet & smooth, toasted almond flavour enveloped in spirit warmth]	http://img.tesco.com/Groceries/pi/561/5057008124561/IDShot_90x90.jpg	Tesco Amaretto Liqueur 50Cl	8.0	81383540	16.0
14	1.233	ML	700.0	False	True	Any 2 for £5.00	1	LITRE	[Sparkling Fortified Alcoholic Premix Blending Passion Fruit & Other Flavours.]	http://img.tesco.com/Groceries/pi/749/5024993730749/IDShot_90x90.jpg	Wkd Blush 4% 700Ml	3.3	80916621	4.72
15	1.287	L	1.0				1	LITRE	[Blended Scotch Whisky]	http://img.tesco.com/Groceries/pi/015/5010314101015/IDShot_90x90.jpg	The Famous Grouse Scotch Whisky 1 Litre	19.0	50519561	19.0
16	1.1	CL	50.0				1	LITRE		http://img.tesco.com/Groceries/pi/520/8716000966520/IDShot_90x90.jpg	Galliano Vanilla Liqueur 500Ml	12.0	51297238	24.0
17	2.733	ML	2500.0		True	Save £3.00 Was £13.00 Now £10.00	1	LITRE	[Captain Morgan Original Spiced Gold premixed with Cola in a can (with Caffeine).]	http://img.tesco.com/Groceries/pi/429/5000281045429/IDShot_90x90.jpg	Captain Morgan Spiced Rum And Cola 10 X 250Ml	10.0	81173996	4.0
18	1.5	L	1.0				1	LITRE	[Dry Schnapps]	http://img.tesco.com/Groceries/pi/849/5021932010849/IDShot_90x90.jpg	V-Kat Schnapps 1L	8.0	64549820	8.0
19	0.42	CL	100.0				1	LITRE	[Special Reserve Blended Scotch Whisky Alc 40% vol, Tesco Special Reserve Blended Scotch Whisky Alc 40% vol]	http://img.tesco.com/Groceries/pi/140/5000119090140/IDShot_90x90.jpg	Tesco Special Reserve Scotch Whisky 1L	17.0	50326679	17.0
20	1.08	CL	100.0				1	LITRE	[London Dry Gin, Classic London Dry Gin Alc 37.5% vol]	http://img.tesco.com/Groceries/pi/525/5000436493525/IDShot_90x90.jpg	Tesco Dry London Gin 1L	15.5	50347769	15.5
