,Unnamed: 0,labels,level2,level1,urls,Product_count,actual
0,1,frankfurter,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frankfurter&newSort=true,19 results for 'frankfurter',19
1,2,sausage,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sausage&newSort=true,328 results for 'sausage',328
2,3,liver loaf,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=liver loaf&newSort=true,No results for 'liver loaf',
3,4,ham,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=ham&newSort=true,244 results for 'ham',244
4,5,meat,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=meat&newSort=true,1871 results for 'meat',1871
5,6,finished products,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=finished products&newSort=true,4 results for 'finished products',4
6,7,organic sausage,sausage,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=organic sausage&newSort=true,No results for 'organic sausage',
7,8,chicken,poultry,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=chicken&newSort=true,1234 results for 'chicken',1234
8,9,turkey,poultry,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=turkey&newSort=true,228 results for 'turkey',228
9,10,pork,pork,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pork&newSort=true,552 results for 'pork',552
10,11,beef,beef,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=beef&newSort=true,602 results for 'beef',602
11,12,hamburger meat,beef,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=hamburger meat&newSort=true,No results for 'hamburger meat',
12,13,fish,fish,meat and sausage,http://www.tesco.com/groceries/product/search/default.aspx?notepad=fish&newSort=true,728 results for 'fish',728
13,14,citrus fruit,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=citrus fruit&newSort=true,67 results for 'citrus fruit',67
14,15,tropical fruit,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=tropical fruit&newSort=true,55 results for 'tropical fruit',55
15,16,pip fruit,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pip fruit&newSort=true,19 results for 'pop fruit',19
16,17,grapes,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=grapes&newSort=true,205 results for 'grapes',205
17,18,berries,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=berries&newSort=true,1251 results for 'berries',1251
18,19,nuts/prunes,fruit,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=nuts/prunes&newSort=true,No results for 'nuts/prunes',
19,20,root vegetables,vegetables,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=root vegetables&newSort=true,39 results for 'root vegetables',39
20,21,onions,vegetables,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=onions&newSort=true,731 results for 'onions',731
21,22,herbs,vegetables,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=herbs&newSort=true,583 results for 'herbs',583
22,23,other vegetables,vegetables,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=other vegetables&newSort=true,75 results for 'other vegetables',75
23,24,packaged fruit/vegetables,packaged fruit/vegetables,fruit and vegetables,http://www.tesco.com/groceries/product/search/default.aspx?notepad=packaged fruit/vegetables&newSort=true,No results for 'packaged fruit/vegetables',
24,25,whole milk,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=whole milk&newSort=true,69 results for 'whole milk',69
25,26,butter,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=butter&newSort=true,871 results for 'butter',871
26,27,curd,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=curd&newSort=true,26 results for 'curd',26
27,28,dessert,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=dessert&newSort=true,771 results for 'dessert',771
28,29,butter milk,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=butter milk&newSort=true,436 results for 'butter milk',436
29,30,yogurt,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=yogurt&newSort=true,748 results for 'yogurt',748
30,31,whipped/sour cream,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=whipped/sour cream&newSort=true,No results for 'whipped/sour cream',
31,32,beverages,dairy produce,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=beverages&newSort=true,34 results for 'beverages',34
32,33,UHT-milk,shelf-stable dairy,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=UHT-milk&newSort=true,8 results for 'UHT-milk',8
