	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.16	SNGL	2.0	False			1	EACH	[Fresh Discs - Lime, Prevents limescale that harbours germs, Continuously fragrances, Hygienic application, Cleans with each flush, Long lasting up to 16 weeks, Prevents limescale that harbours germs*, *Fresh Discs formula leaves a flush activated protective shield all around the bowl, that helps repel limescale., Fit with handle from fresh discs starter pack (sold separately), An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/618/5000204608618/IDShot_90x90.jpg	Duck Fresh Disc Refill Lime Zest 2 Pack	4.5	67154314	2.25
1	0.898	SNGL	4.0	True			1	EACH	[Washlets® Gentle Clean Multi Pack, For more information about The Andrex® Clean Routine and to sign up for exclusive offers go to www.andrex.co.uk]	http://img.tesco.com/Groceries/pi/636/5029053562636/IDShot_90x90.jpg	Andrex Washlets Gentle Clean 4 Pack	6.0	81639786	1.5
2	0.799	ML	700.0				1	LITRE	[Power Fresh Toilet Gel - Citrus Fresh, An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/735/8712561975735/IDShot_90x90.jpg	Domestos Power Fresh Citrus Toilet Gel 700Ml	1.75	71151968	2.5
3	0.12	ML	36.0	False	True	Save £1.00 Was £3.00 Now £2.00	1	LITRE	[Fresh Discs - Lavender, Prevents limescale that harbours germs, Continuously fragrances, Hygienic application, Cleans with each flush, Long lasting up to 8 weeks, Disc stamps on, No unhygienic rimblock, Prevents limescale that harbours germs*, *Fresh Discs formula leaves a flush activated protective shield all around the bowl, that helps repel limescale, An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/907/5000204593907/IDShot_90x90.jpg	Duck Fresh Disc Holder Lavender 36Ml	2.0	67154206	55.56
4	0.607	ML	500.0				1	LITRE		http://img.tesco.com/Groceries/pi/888/4084500205888/IDShot_90x90.jpg	Viakal Limescale Spray With Febreeze 500Ml	3.2	80621013	6.4
5	0.066	SNGL	1.0	False	True	Save 50p Was £1.50 Now £1.00	1	EACH	[Flowers Rose and Apple Blossom Cage-Free Toilet Freshener, www.sustainable cleaning.com]	http://img.tesco.com/Groceries/pi/131/5000185110131/IDShot_90x90.jpg	Bloo Flwrs Rose Apple Cage Free Rim	1.0	66426127	1.0
6	0.097	SNGL	5.0				1	EACH	[Power 5 rim block., An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/620/8710908458620/IDShot_90x90.jpg	Domestos Power 5 Rim Block Lime 55G	2.5	80620072	0.5
7	0.097	SNGL	5.0				1	EACH	[Power 5 rim block., An A.I.S.E. voluntary sustainability initiative, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/675/8710908458675/IDShot_90x90.jpg	Domestos Power 5 Rim Block Ocean	2.5	80620141	0.5
8	0.05	G	40.0	False	True	Save 50p Was £1.75 Now £1.25	1	KG	[Fresh Strips - Pine]	http://img.tesco.com/Groceries/pi/444/5000204889444/IDShot_90x90.jpg	Duck Fresh Strips Pine 40G	1.25	80643422	31.25
9	0.066	SNGL	1.0	False			1	EACH		http://img.tesco.com/Groceries/pi/324/5054268463324/IDShot_90x90.jpg	Tesco Cage Free Rim Aqua	1.0	76848995	1.0
10	0.093	SNGL	1.0		True	Save 50p Was £1.50 Now £1.00	1	EACH	[Blue max in cistern block, www.sustainable cleaning.com]	http://img.tesco.com/Groceries/pi/792/5000185102792/IDShot_90x90.jpg	Bloo Max Cistern Block Blue	1.0	54968195	1.0
11	0.388	SNGL	4.0				1	EACH	[Toilet Soap]	http://img.tesco.com/Groceries/pi/015/8714789703015/IDShot_90x90.jpg	Palmolive Naturals Moisture Care 4X90g Bar Soap	1.25	70821391	0.313
12	0.285	SNGL	55.0				1	EACH	[Kandoo Toilet Wipes Melon Single Pack 55 Wipes, Forget tricky toilet paper   now kids can master the toilet with Pampers Kandoo toilet wipes. The wipes are just the right size for kids' hands, allowing children to wipe their bottom clean on their own   a small but important step on the road to independence.]	http://img.tesco.com/Groceries/pi/381/4015400192381/IDShot_90x90.jpg	Pampers Kandoo Toilet Wipes Melon 55 Pack	2.5	56915468	0.046
13	0.475	SNGL	84.0				1	EACH	[Cleansing Surface Wipes, Trusted by Doctors**, **Based on research carried out by IPSOS with 210 doctors, a majority of GPs questioned agreed that they trusted Dettol Surface Cleanser to kill bacteria, Kills E. Coli, Salmonella, MRSA, Rotavirus, Flu virus (H1N1), Non bleach, no taint, Safe to use where food is prepared, Removes 90% of allergens, Dettol Cleansing Surface Wipes provides 3x Protection vs. Bacteria, Flu Virus and Allergens, Dettol Anti Bacterial Surface Cleanser is proven to kill, Bacteria, E.coli, S.aureus, Listeria, Campylobacter, Paeruginosa, MRSA, Salmonella, Viruses, Influenza   Type A H1N1, Dettol Anti Bacterial Surface Cleanser is proven to remove, Allergens, Pollen particles, dust mites, pet dander, Suitable for: chopping boards, high chairs, changing mats, fridge, bins, kitchen sinks, baths & taps, toilet seats, If you like our product, why not also try Dettol Cleansing Floor Wipes   Anti bacterial wipes specially designed for use on floors., For ingredients:, www.rbeuroinfo.com, www.sustainable cleaning.com, www.happier homes.com]	http://img.tesco.com/Groceries/pi/083/5011417563083/IDShot_90x90.jpg	Dettol Surface Cleanser Wipes Original 84S	4.0	78720019	0.048
14	0.582	G	500.0	False			1	100G	[Foam Aroma Fragranced Powder Citrus Zest, www.ukconsumerinfo.com, www.sustainable cleaning.com, www.cleanright.eu]	http://img.tesco.com/Groceries/pi/415/5000185113415/IDShot_90x90.jpg	Bloo Foam Aromatherapy Citrus Zest 500	3.5	81780778	0.7
15	0.333	SNGL	1.0				1	EACH		http://img.tesco.com/Groceries/pi/202/5053947201202/IDShot_90x90.jpg	Tesco Brushed Chrome Toilet Brush	5.0	73913859	5.0
16	0.702	ML	500.0				1	LITRE	[Anti-Bacterial Surface Cleanser, Dettol Anti Bacterial Surface Cleanser is proven to kill, Bacteria, E.coli, S.aureus, Listeria, Campylobacter, Paerughosa, MRSA, Salmonella, Viruses, Influenza   Type A H1N1, Dettol Anti Bacterial Surface Cleanser is proven to remove, Allergens, Pollen particles, dust mites, pet dander, Trusted by doctors* to kill bacteria, *Based on research carried out by IPSOS with 228 GPs, a majority of GPs questioned agreed that they 'trusted Dettol Surface Cleanser to kill bacteria', Suitable for: chopping boards, high chairs, changing mats, fridge, bins, kitchen sink, baths & taps, toilets seat, If you like this product, why not also try Dettol Cleansing Surface Wipes, www.happier homes.com, www.sustainable cleaning.com, The British allergy foundation   seal of approval, Dettol surface cleanser provides 3x protection vs. Bacteria, flu virus and allergens]	http://img.tesco.com/Groceries/pi/928/5011417561928/IDShot_90x90.jpg	Dettol Surface Cleaner A/Bact 500Ml	1.5	50981259	3.0
17	0.188	SNGL	32.0	False			1	EACH	[Power & fresh Advance multi-purpose wipes Refreshing Green Apple, Dettol Power & fresh Advance, Multi purpose wipes, Refreshing Green Apple, 3x cleaning power on kitchen grease, burnt on food and bathroom dirt., Kills 99.9% of bacteria such as E.coli, Leaves a fresh fragrance, Suitable for: work surfaces, kitchen surfaces, sinks, shower screens, toilet seats, bath & taps, electrical devices, childrens toys, If you like this product, why not also try Dettol Power & Fresh Floor wipes Anti bacterial wipes specially designed for use on floors., For ingredients: www.rbeuroinfo.com, www.sustainable cleaning.com, www.happier homes.com]	http://img.tesco.com/Groceries/pi/021/5011417563021/IDShot_90x90.jpg	Dettol Power And Fresh Wipes Green Apple 32S	2.0	78719650	0.063
18	0.113	SNGL	2.0	False	True	Any 2 for £2.50	1	EACH	[Flowers Jasmine and Violet in Cistern Block, www.sustainable cleaning.com]	http://img.tesco.com/Groceries/pi/340/5000185109340/IDShot_90x90.jpg	Bloo Jasmine And Violet Incistern Twin Pack	1.8	64196228	0.9
19	0.805	SNGL	1.0		True	Save 50p Was £5.00 Now £4.50	1	EACH		http://img.tesco.com/Groceries/pi/645/5054402991645/IDShot_90x90.jpg	Tesco Toilet Seat Whale	4.5	80059857	4.5
