	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.147	ML	150.0		True	Save £1.50 Was £3.00 Now £1.50	1	100ML	[Body Spray Deodorant]	http://img.tesco.com/Groceries/pi/904/8717644277904/IDShot_90x90.jpg	Lynx Dark Temptation Body Spray 150Ml	1.5	61931320	1.0
1	0.7	ML	500.0				1	100ML	[soft & gentle, 2 in 1 bubble, bath & wash, helps leave baby's skin clean & soft, no tears, perfect for newborns, paediatrician approved, hypoallergenic, dermatologically tested]	http://img.tesco.com/Groceries/pi/451/5052910455451/IDShot_90x90.jpg	Tesco Baby Bath And Bodywash 500Ml	1.0	73022767	0.2
2	0.132	ML	150.0				1	100ML		http://img.tesco.com/Groceries/pi/798/4005808663798/IDShot_90x90.jpg	Nivea For Men Sensitive Protect Spray 150Ml	1.8	71083835	1.2
3	0.072	SNGL	10.0				1	EACH	[1 Sensitive 10 Razors]	http://img.tesco.com/Groceries/pi/119/3086125705119/IDShot_90x90.jpg	Bic 1 Sensitive Disposable Razor 10'S	1.0	50604892	0.1
4	0.039	ML	30.0		True	Any 3 for 2 Cheapest Product Free	1	100ML	[Extreme Style Texturising Gum]	http://img.tesco.com/Groceries/pi/055/0000096108055/IDShot_90x90.jpg	Vo5 Extremestyle Texturising Gum 30Ml	1.5	80930033	5.0
5	0.173	ML	200.0				1	100ML	[XL Dry Excite Anti-Perspirant 48H Fresh Protection]	http://img.tesco.com/Groceries/pi/715/8712561018715/IDShot_90x90.jpg	Lynx Dry Excite Antiperspirant Deodorant 200Ml	4.0	73370671	2.0
6	0.073	ML	75.0		True	Save 50p Was £1.50 Now £1.00	1	100ML	[Long lasting anti-perspirant]	http://img.tesco.com/Groceries/pi/979/0000096080979/IDShot_90x90.jpg	Sure Men Invisible Ice Antiperspirant Deodorant Compressed 75Ml	1.0	75620920	1.34
7	0.185	ML	125.0				1	100ML	[Men+Care Clean Comfort Compressed Antiperspirant, Dove Men+Care Clean Comfort, Dove Clean Comfort, Dove Clean Comfort deodorant, Dove deodorant for men, Dove antiperspirant, antiperspirant]	http://img.tesco.com/Groceries/pi/696/0000096080696/IDShot_90x90.jpg	Dove Men+Care Cleancomfort Antiperspirant Deodorant Compressed 125Ml	3.0	75622872	2.4
8	0.475	ML	400.0		True	Save £1.00 Was £2.50 Now £1.50	1	100ML	[Excite Body Wash]	http://img.tesco.com/Groceries/pi/871/8711600490871/IDShot_90x90.jpg	Lynx Excite Shower Gel 400Ml	1.5	67500809	0.375
9	0.088	ML	50.0				1	100ML	[Anti-perspirant deodorant]	http://img.tesco.com/Groceries/pi/392/0000030061392/IDShot_90x90.jpg	Sure Men Sensitive Stick Antiperspirant Deodorant 50Ml	2.75	57367538	5.5
10	0.183	ML	500.0				1	100ML	[soft & gentle, shampoo, helps cleanse baby's hair & scalp, no tears, perfect for newborns, paediatrician approved, hypoallergenic, dermatologically tested]	http://img.tesco.com/Groceries/pi/985/5052319403985/IDShot_90x90.jpg	Tesco Loves Baby And Toddler Soft Shampoo 500Ml	1.0	66639428	0.2
11	0.127	ML	150.0				1	100ML	[Nivea Men Stress Protect 48h Anti-Perspirant]	http://img.tesco.com/Groceries/pi/198/4005808719198/IDShot_90x90.jpg	Nivea Deo Stress Protect Male 150Ml	1.8	73372674	1.2
12	0.187	ML	200.0	False			1	100ML	[48 Hour Action, Less White Marks, Alcohol Free]	http://img.tesco.com/Groceries/pi/224/5054402464224/IDShot_90x90.jpg	Tesco Mens Revive Antiperspirant Deodorant 200Ml	0.8	78141969	0.4
13	0.053	SNGL	4.0				1	EACH		http://img.tesco.com/Groceries/pi/294/7702018851294/IDShot_90x90.jpg	Gillette Fusion Razor Blades 4 Pack	10.5	59354959	2.63
14	0.81	ML	500.0				1	100ML	[Baby Shampoo]	http://img.tesco.com/Groceries/pi/124/3574660048124/IDShot_90x90.jpg	Johnsons Baby Gold Shampoo 500Ml	2.25	55464213	0.45
15	0.205	ML	250.0				1	100ML	[Men Williams Racing Special Edition Aerosol Anti-Perspirant Deodorant, Williams Racing Official Partner]	http://img.tesco.com/Groceries/pi/498/8710908293498/IDShot_90x90.jpg	Sure For Men Williams Racing Antiperspirant Deodorant 250Ml	2.5	80446474	1.0
16	0.13	ML	150.0				1	100ML	[Xtreme Fresh 72H Protection Anti-Perspirant, Join us: Facebook.com/UKRightGuard]	http://img.tesco.com/Groceries/pi/915/5012583201915/IDShot_90x90.jpg	Right Guard Xtreme Silver Fresh Blast Antiperspirant Deodorant 150Ml	1.0	65667816	0.667
17	0.546	ML	200.0				1	100ML	[NIVEA MEN® Sensitive Shaving Foam]	http://img.tesco.com/Groceries/pi/698/4005808222698/IDShot_90x90.jpg	Nivea For Men Soothing Shave Foam 200Ml	2.5	56987558	1.25
