	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.184	G	140.0				1	100G	[Slices of reformed turkey breast with added water, starch and milk protein.]	http://img.tesco.com/Groceries/pi/165/5010236155165/IDShot_90x90.jpg	Bernard Matthews Sliced Turkey Breast 140G	2.0	52363274	1.43
1	0.15	G	125.0		True	Any 2 for £3.00	1	100G	[Sliced, cooked and roasted formed turkey breast., 5 Slices.]	http://img.tesco.com/Groceries/pi/093/5052910806093/IDShot_90x90.jpg	Tesco British Roast Turkey 125G	1.8	55204706	1.44
2	0.731	G	500.0		True	Save 50p Was £3.50 Now £3.00	1	KG	[British Turkey Breast Mince 2% Fat. Naturally lean. High in protein. Fresh, Class A.]	http://img.tesco.com/Groceries/pi/311/5052910216311/IDShot_90x90.jpg	Tesco Turkey Breast Mince 2% Fat 500G	3.0	68162356	6.0
3	0.295	G	250.0		True	Half Price Was £2.00 Now £1.00	1	100G	[Finely sliced turkey ham - reformed from cured turkey with added water, starch and milk protein.]	http://img.tesco.com/Groceries/pi/257/5010236155257/IDShot_90x90.jpg	Bernard Matthews Wafer Thin Turkey Ham 250G	1.0	52364359	0.4
4	0.137	G	125.0		True	Save 50p Was £2.50 Now £2.00	1	100G	[Seasoned, cooked and roasted formed turkey breasts., Lightly seasoned then gently roasted and caramelised for a delicate flavour.]	http://img.tesco.com/Groceries/pi/296/5057008101296/IDShot_90x90.jpg	Tesco Finest British Roast Turkey Breast 125G	2.0	74410911	1.6
5	0.517	G	500.0				1	KG	[Chopped and shaped turkey with added milk proteins from cows' milk coated in breadcrumbs]	http://img.tesco.com/Groceries/pi/435/5010236115435/IDShot_90x90.jpg	Bernard Matthews 10 Turkey Dinosaurs 500G	2.0	70602506	4.0
6	0.642	G	500.0	False		£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[British Turkey Thigh Mince Lean. Full of flavour. High in Protein. Fresh Class, A.]	http://img.tesco.com/Groceries/pi/298/5052910216298/IDShot_90x90.jpg	Tesco Turkey Thigh Mince 7% Fat 500G	2.45	52490232	4.9
7	0.228	G	250.0				1	100G	[Wafer thin sliced, cooked and roasted reformed turkey with added water., Using only turkey from Tesco approved suppliers.  Succulent wafer thin roast Turkey slices. Ideal for sandwiches or salads. Source of protein. Cooked and ready to eat.]	http://img.tesco.com/Groceries/pi/838/5054775860838/IDShot_90x90.jpg	Tesco Wafer Thin Roast Turkey 250G	1.6	64006017	0.64
8	0.22	G	200.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[Chopped and shaped turkey coated in breadcrumbs.]	http://img.tesco.com/Groceries/pi/601/5010236071601/IDShot_90x90.jpg	Bernard Matthews Breaded Turkey Steaks 200G	1.0	76100094	5.0
9	0.646	G	400.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[British Turkey Stir Fry Breast Strips, skinless and boneless. Naturally lean, and high in protein. Hand Trimmed. Fresh class A.]	http://img.tesco.com/Groceries/pi/701/5053947597701/IDShot_90x90.jpg	Tesco Turkey Breast Stir Fry 400G	3.5	57091921	8.75
10	0.625	G	400.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[British Turkey Mini Breast Fillets. Naturally lean and high in protein. Quick, Cook.  Fresh Class A.]	http://img.tesco.com/Groceries/pi/664/5053947597664/IDShot_90x90.jpg	Tesco Mini Turkey Breast Fillets 400G	3.5	65162031	8.75
11	0.517	G	500.0		True	Save 15% Was £2.00 Now £1.70	1	KG	[Chopped and shaped turkey with added milk proteins from cows' milk coated in breadcrumbs]	http://img.tesco.com/Groceries/pi/374/5010236115374/IDShot_90x90.jpg	Bernard Matthews 10 Golden Drummers 500G	1.7	70602593	3.4
