	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.85	ML	750.0				1	100ML	[A pasteurised blend of orange, banana, apple, mango and passion fruit juices and purées., Tesco Orange, Mango & Passionfruit Smoothie 750ml]	http://img.tesco.com/Groceries/pi/428/5054269036428/IDShot_90x90.jpg	Tesco Orange Mango Passion Fruit Smoothie 750Ml	0.95	78759072	0.127
1	0.33	SNGL	6.0		True	Save 10p Was 85p Now 75p	1	EACH	[6 Part baked mini white rolls., Bake at home 6 Petit pains]	http://img.tesco.com/Groceries/pi/853/5054269960853/IDShot_90x90.jpg	Tesco Bake At Home Petit Pain 6 Pack	0.75	79983322	0.125
2	0.53	G	450.0		True	Any 3 for 2 Cheapest Product Free	1	KG	[Carrot, swede, potato, leek and onion]	http://img.tesco.com/Groceries/pi/129/0000003263129/IDShot_90x90.jpg	Tesco Casserole Vegetables 450G	1.0	79808157	2.23
3	0.333	SNGL	1.0				1	EACH	[Ciabatta bread with Italian extra virgin olive oil (4%)., Made with Italian Extra Virgin Olive Oil (4%) and a slow fermented starter dough for a perfectly light, airy texture and distinctive rich flavour. Hand shaped and then stonebaked for a deliciously crisp crust.]	http://img.tesco.com/Groceries/pi/686/5010204273686/IDShot_90x90.jpg	Tesco Finest Plain Ciabatta	1.5	56915399	1.5
4	0.389	G	300.0	False		50p off Tesco freshcut fruit, prepped veg or salad	1	KG	[Melon and pineapple fingers., perfect for sharing]	http://img.tesco.com/Groceries/pi/912/0000003225912/IDShot_90x90.jpg	Tesco Melon And Pineapple Finger Trio 300G	2.0	72438352	6.67
5	0.537	G	500.0				1	100G	[Pudding rice.]	http://img.tesco.com/Groceries/pi/204/5000119309204/IDShot_90x90.jpg	Tesco Pudding Rice 500G	0.99	50683756	0.198
6	1.017	KG	1.0				1	KG	[A mix of Garden Peas, Sweetcorn, Baby Carrots, Broccoli & Red Peppers, Cook from frozen in 4 minutes]	http://img.tesco.com/Groceries/pi/848/5051898990848/IDShot_90x90.jpg	Tesco Mixed Vegetables With Red Peppers 1Kg	1.5	51254969	1.5
7	1.667	ML	2000.0				1	100ML	[Summer fruits juice drink made with a blend of apple, strawberry and raspberry juices from concentrate., Made using a blend of fruit juices from concentrate]	http://img.tesco.com/Groceries/pi/375/5052003778375/IDShot_90x90.jpg	Tesco Summer Fruits Juice Drink 2L	1.4	64544670	0.07
8	0.556	G	500.0	False			1	KG	[A mix of frozen Strawberry and Banana, Strawberry & Banana Smoothie Mix]	http://img.tesco.com/Groceries/pi/789/5054269805789/IDShot_90x90.jpg	Tesco Strawberry And Banana Smoothie Mix 500G	2.0	79801314	4.0
9	0.418	G	180.0		True	Any 3 for 2 Cheapest Product Free	1	KG	[Micro chopped diced shallots and red onions, Micro Chopped Diced Shallots and Red Onions]	http://img.tesco.com/Groceries/pi/507/0000003258507/IDShot_90x90.jpg	Tesco Micro Chopped Shallot And Red Onion 180G	1.5	78684107	8.34
