	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.775	G	480.0				1	KG	[Sweetcorn in water, Naturally Sweet Sweetcorn in Water 3 x 200g]	http://img.tesco.com/Groceries/pi/297/5031021226297/IDShot_90x90.jpg	Tesco Naturally Sweet Sweetcorn 3X200g	1.25	51638752	2.61
1	0.542	G	160.0				1	KG	[Sliced Carrots in Water]	http://img.tesco.com/Groceries/pi/513/5051790819513/IDShot_90x90.jpg	Tesco Everyday Value Sliced Carrots 300G	0.2	53531229	1.25
2	0.91	KG	1.0				1	KG	[Roast or fry to pack flavour into any meal]	http://img.tesco.com/Groceries/pi/082/0000010023082/IDShot_90x90.jpg	Tesco Brown Onions 1Kg	0.75	51204966	0.75
3	0.588	SNGL	3.0				1	EACH	[Tesco Mixed Peppers]	http://img.tesco.com/Groceries/pi/296/0000003231296/IDShot_90x90.jpg	Tesco Mixed Peppers 3 Pack	0.85	50689433	0.283
4	0.693	G	640.0				1	KG	[4 individual steamable bags containing a mix of Peas, Broccoli, Spinach and Sweetcorn, Micro Veg Peas Broccoli Spinach and Sweetcorn 640g.  4 individual steamable bags containing a mix of Peas, Broccoli, Spinach and Sweetcorn]	http://img.tesco.com/Groceries/pi/625/5052109939625/IDShot_90x90.jpg	Tesco Micro Vegetable Peas Broccoli Spinach And Sweetcorn 640G	1.5	70752783	2.35
5	0.566	SNGL	2.0		True	Save 50p Was £1.50 Now £1.00	1	EACH	[Supersweet sweetcorn twin pack]	http://img.tesco.com/Groceries/pi/966/0000050004966/IDShot_90x90.jpg	Tesco Corn On The Cob Twinpack	1.0	50502822	0.5
6	0.564	SNGL	1.0				1	EACH	[Butternut Squash]	http://img.tesco.com/Groceries/pi/545/0000003232545/IDShot_90x90.jpg	Tesco Butternut Squash Each	0.9	73707050	0.9
7	1.062	KG	1.0			50p off Tesco prepacked potatoes Excl Redmere Farm	3	KG	[Sweet Potato Loose]	http://img.tesco.com/Groceries/pi/000/0262680000000/IDShot_90x90.jpg	Tesco Sweet Potatoes Loose	0.95	50507984	0.95
8	0.131	G	100.0				1	KG		http://img.tesco.com/Groceries/pi/599/0000003242599/IDShot_90x90.jpg	Tesco Bunched Spring Onions 100G	0.49	75341714	4.9
9	0.083	G	71.0				1	100G	[12 Vegetable Stock Cubes]	http://img.tesco.com/Groceries/pi/217/5000175411217/IDShot_90x90.jpg	Oxo 12 Vegetable Stock Cubes 71G	1.25	52644996	1.77
10	0.433	G	380.0	False	True	Any 3 for 2 Cheapest Product Free	1	KG	[A blend of vegetables with a masala curry dressing and tandoori seasoning., Tandoori Vegetable Bake]	http://img.tesco.com/Groceries/pi/854/0000003266854/IDShot_90x90.jpg	Tesco Tandoori Vegetable Bake 380G	2.5	81103320	6.58
11	0.648	G	345.0				1	KG	[New potatoes in water]	http://img.tesco.com/Groceries/pi/624/5051622661624/IDShot_90x90.jpg	Tesco Everyday Value New Potatoes 567G	0.35	51645167	1.02
12	0.228	SNGL	1.0				2	EACH	[Red Peppers Loose, Red Peppers Loose Express]	http://img.tesco.com/Groceries/pi/000/0200360000000/IDShot_90x90.jpg	Tesco Red Peppers Each	0.5	51658215	0.5
13	0.532	SNGL	1.0				1	EACH	[Tesco Iceberg Lettuce Each]	http://img.tesco.com/Groceries/pi/488/0000010010488/IDShot_90x90.jpg	Tesco Iceberg Lettuce Each	0.43	50652534	0.43
14	2.394	G	250.0				1	KG	[Chestnut Mushrooms]	http://img.tesco.com/Groceries/pi/615/5052909624615/IDShot_90x90.jpg	Tesco Chestnut Mushrooms 250G	1.0	53765027	4.0
15	0.116	G	72.0				1	100G	[Instant vegetable soup]	http://img.tesco.com/Groceries/pi/801/5000462244801/IDShot_90x90.jpg	Tesco Everyday Value Vegetable Soup In A Mug 4 Pack 104G	0.2	56207955	0.278
16	0.034	G	258.0	False	True	Any 3 for 2 Cheapest Product Free	1	KG	[Peppers stuffed with fire roasted tomato and quinoa filling and topped with feta cheese.]	http://img.tesco.com/Groceries/pi/783/0000003267783/IDShot_90x90.jpg	T.Meditrn Peppers Fire Roasted Toms And Quinoa 258G	2.25	81172882	8.73
17	0.334	G	300.0				1	KG	[Mushy processed peas with sugar, salt and colours added]	http://img.tesco.com/Groceries/pi/672/5000436476672/IDShot_90x90.jpg	Tesco Everyday Value Mushy Peas 300G	0.2	54380054	0.667
18	0.737	SNGL	4.0				1	EACH	[Sweetcorn cobbettes]	http://img.tesco.com/Groceries/pi/114/0000010045114/IDShot_90x90.jpg	Tesco Sweetcorn Cobettes 4 Pack	1.5	55747841	0.375
19	0.967	G	900.0				1	KG	[Whole Green Beans, Tesco Very Fine Whole Green (French) Beans]	http://img.tesco.com/Groceries/pi/837/5053526969837/IDShot_90x90.jpg	Tesco Very Fine Whole Green Beans 900G	1.0	51540613	1.12
20	0.908	G	750.0	False		50p off Tesco prepacked potatoes Excl Redmere Farm	1	KG	[Organic Sweet Potato]	http://img.tesco.com/Groceries/pi/725/0000010045725/IDShot_90x90.jpg	Tesco Organic Sweet Potatoes 750G	2.0	56062226	2.67
21	0.213	G	150.0		False	Save 73p Was £1.73 Now £1.00	1	KG	[Sun Ripened Sweet Chilli Flavour Multigrain Snack, Follow us on Facebook]	http://img.tesco.com/Groceries/pi/893/5000328154893/IDShot_90x90.jpg	Walkers Sunbites Sun Ripened Sweet Chilli 6 Pack	1.5	63807252	10.0
22	1.036	KG	1.0			50p off Tesco prepacked potatoes Excl Redmere Farm	1	KG	[Redmere Farms Sweet Potatoes]	http://img.tesco.com/Groceries/pi/274/0000003266274/IDShot_90x90.jpg	Redmere Farms Sweet Potato 1Kg	0.95	81018035	0.95
23	0.451	G	390.0				1	KG	[A blend of tomatoes, courgettes, aubergines, peppers and onions., French style mixed vegetables]	http://img.tesco.com/Groceries/pi/754/5010793375754/IDShot_90x90.jpg	La Doria Ratatouille Provencale 390G	0.65	50277523	1.67
24	0.221	G	170.0		True	Any 3 for 2 Cheapest Product Free	1	KG	[Shelled Garden Peas, Hand Shelled Garden Peas]	http://img.tesco.com/Groceries/pi/955/0000010080955/IDShot_90x90.jpg	Tesco Hand Shelled Peas 170G	1.25	52745577	7.36
25	0.542	G	385.0				1	KG	[Great in salads in salsas]	http://img.tesco.com/Groceries/pi/169/0000003243169/IDShot_90x90.jpg	Tesco Red Onions 3Pack Minimum 385G	0.75	75531109	1.95
26	0.367	G	180.0				1	KG	[Marrowfat processed peas in water, with sugar, salt and colours added]	http://img.tesco.com/Groceries/pi/211/5000119002211/IDShot_90x90.jpg	Tesco Marrow Fat Processed Peas 300G	0.3	50017786	1.67
27	0.556	G	500.0				1	KG	[Redmere Farms Parsnips]	http://img.tesco.com/Groceries/pi/199/0000003266199/IDShot_90x90.jpg	Redmere Farms Parsnip 500G	0.54	81017290	1.08
28	0.75	G	750.0				1	KG	[Diced potato with peppers, vegetables and herbs in a mediterranean style mix, Crispy Diced Potato with peppers and onions in a little light seasoning]	http://img.tesco.com/Groceries/pi/197/5054268597197/IDShot_90x90.jpg	Tesco Crispy Potatoes And Mediterranean Vegetables 750G	2.0	76983004	2.67
29	0.558	G	480.0	False	True	Any 3 for 2 Cheapest Product Free	1	KG	[Carrots and Peas, Carrot & Peas]	http://img.tesco.com/Groceries/pi/181/0000003234181/IDShot_90x90.jpg	Tesco Carrots And Peas 480G	1.25	71103807	2.61
30	0.391	G	260.0				1	KG	[Naturally sweet sweetcorn in water]	http://img.tesco.com/Groceries/pi/206/5000119392206/IDShot_90x90.jpg	Tesco Natural Sweet Sweetcorn In Water 325G	0.5	50735834	1.93
31	1.809	L	1.75		True	Any 2 for £2.00	1	100ML	[Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/938/5449000958938/IDShot_90x90.jpg	Coca Cola Diet Coke 1.75L	1.71	76236849	0.098
32	1.0	ML	1000.0				1	100ML	[Sunflower oil]	http://img.tesco.com/Groceries/pi/663/5000119018663/IDShot_90x90.jpg	Tesco Pure Sunflower Oil 1L	0.99	50265192	0.099
33	0.588	KG	0.5				1	KG	[Diced onions, Diced Onions]	http://img.tesco.com/Groceries/pi/136/5031021239136/IDShot_90x90.jpg	Tesco Diced Onions 500G	1.0	62078619	2.0
34	0.938	KG	1.0				3	KG	[Leeks]	http://img.tesco.com/Groceries/pi/000/0261400000000/IDShot_90x90.jpg	Tesco Leeks Loose	1.75	50502799	1.75
35	0.436	G	380.0		True	Any 3 for £4.00	1	100G	[A stonebaked pizza base topped with a tomato and an emmental & blue cheese sauce, mozzarella & cheddar cheeses, marinated grilled red & yellow peppers, red & yellow peppers, spinach, red onion, fried onion and spring onion., A stonebaked pizza base topped with a tomato and an emmental & blue cheese cr&#232;me fra&#238;che sauce, mozzarella & cheddar cheeses, marinated grilled red & yellow peppers, red & yellow peppers, spinach, red onion, fried onion and spring onion.]	http://img.tesco.com/Groceries/pi/010/5054775299010/IDShot_90x90.jpg	Tesco Stonebaked Thin Mediterranean Vegetable Pizza 390G Price Marked	1.5	73588707	0.395
36	0.161	G	100.0	False			1	KG	[Asparagus tips]	http://img.tesco.com/Groceries/pi/614/0000010024614/IDShot_90x90.jpg	Tesco Asparagus Tips 125G	1.8	51349437	18.0
37	40.211	G	280.0		True	1 x Vegetable, 1 x Sauce and 1 x Noodle or Rice for £3	1	KG	[A selection of vegetables with Edamame beans and pea shoots., Edamame bean stir fry with pea shoots.]	http://img.tesco.com/Groceries/pi/123/0000003265123/IDShot_90x90.jpg	Tesco Edamame Stir Fry 280G	2.0	80446664	7.15
38	0.379	G	350.0				1	KG	[Cauliflower florets in a cheese sauce topped with mature vegetarian Cheddar cheese., Cauliflower florets in a cheese sauce topped with mature vegetarian Cheddar cheese.]	http://img.tesco.com/Groceries/pi/187/5018374323187/IDShot_90x90.jpg	Tesco Cauliflower Cheese 350G	1.3	51630334	3.72
39	1.869	ML	1750.0		True	Any 2 for £2.00	1	100ML	[Sparkling Soft Drink with Vegetable Extracts]	http://img.tesco.com/Groceries/pi/389/5449000130389/IDShot_90x90.jpg	Coca-Cola Coke 1.75L	1.71	76236757	0.098
40	0.295	G	190.0				1	KG		http://img.tesco.com/Groceries/pi/042/0000003238042/IDShot_90x90.jpg	Tesco Asparagus And Tender Stem Broccoli 190G	1.8	74636039	9.48
41	1.087	SNGL	1.0				2	EACH	[Sweet earth flavour ~ Perfect mashed]	http://img.tesco.com/Groceries/pi/485/0000003040485/IDShot_90x90.jpg	Tesco Large Swede Each	1.0	52957919	1.0
42	0.597	G	500.0				1	KG		http://img.tesco.com/Groceries/pi/021/0000003240021/IDShot_90x90.jpg	Tesco Courgettes Pre Packed 500G	1.0	75035870	2.0
43	1.167	L	1.0				1	100ML	[A delicious blend of nutritious vegetable juices from concentrates., www.facebook.com/v8juiceuk]	http://img.tesco.com/Groceries/pi/993/5000175412993/IDShot_90x90.jpg	V8 Vegetable Juice 1 Litre	1.68	52787398	0.168
44	1.05	G	660.0				1	KG	[Sweet corn, For more information visit http://www.greengiant.co.uk]	http://img.tesco.com/Groceries/pi/203/3254474000203/IDShot_90x90.jpg	Green Giant Original Sweetcorn 4X198g	2.45	52779646	3.72
45	0.885	G	625.0				1	KG	[Closed Cup Mushrooms 625g]	http://img.tesco.com/Groceries/pi/833/0000003236833/IDShot_90x90.jpg	Tesco Family Pack Mushrooms 625G	1.75	51592804	2.8
46	0.38	G	206.0				1	KG	[Tender Leaf Curly Kale]	http://img.tesco.com/Groceries/pi/183/0000010032183/IDShot_90x90.jpg	Tesco Curly Kale 206G	1.0	52666031	4.86
47	0.501	G	360.0				1	KG	[Salad Tomatoes]	http://img.tesco.com/Groceries/pi/122/0000003246122/IDShot_90x90.jpg	Tesco Salad Tomatoes 360G	0.69	76297275	1.92
