	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	0.475	G	400.0		True	Any 3 for £5.00	1	KG	[Mushrooms in a creamy brandy and paprika sauce served with basmati & wild rice, Made with fresh mushrooms, British cream and creme fraiche, with the rich, warming taste of brandy]	http://img.tesco.com/Groceries/pi/433/5054269296433/IDShot_90x90.jpg	Tesco Mushroom Stroganoff And Rice 400G	2.3	79079926	5.75
1	0.4	G	360.0	False	True	Any 2 for £2.50	1	KG	[Shortcrust pastry encasing chickpeas, sweet potato, peppers and spinach in a spicy tomato sauce topped with a butter enriched puff pastry lid and topped with a paprika crumb, 2 Moroccan Style Chickpea and Sweet Potato Pies 2 x 180g]	http://img.tesco.com/Groceries/pi/362/5054269747362/IDShot_90x90.jpg	Tesco 2 Chickpea And Sweet Potato Pie 360G	1.5	79697914	4.17
2	0.293	G	250.0	False	True	Save 50p Was £2.50 Now £2.00	1	KG	[Mushroom Burgers Made with Chestnut and Shitake Mushrooms, Butter Beans, Puy Lentil, Kale and Spinach.]	http://img.tesco.com/Groceries/pi/051/5036829500051/IDShot_90x90.jpg	Gosh! Mushroom And Butter Bean Burger 250G	2.0	81288970	8.0
3	0.325	G	276.0	False			1	KG	[6 Lincolnshire Vegetarian Sausages, Keep in touch..., For exciting recipe ideas and more information on the Cauldron range, visit..., www.cauldronfoods.co.uk]	http://img.tesco.com/Groceries/pi/527/5013683305527/IDShot_90x90.jpg	Cauldron Foods Lincolnshire Sausages 6 Pack 276G	2.5	66055295	9.06
4	0.197	G	140.0		True	Any 3 for £5.00	1	KG	[Quorn Fajita Strips are meat free and made with mycoprotein, with a Mexican spice blend coating., Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein & fibre., To discover lots of Quorn recipes and to explore the whole range, simply visit www.quorn.co.uk, Facebook, Twitter, Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/880/5019503012880/IDShot_90x90.jpg	Quorn Fajita Strips 140G	2.5	56311497	17.86
5	0.5	G	400.0	False			1	100G	[Pepper, Tomato and Courgette Soup with Rice]	http://img.tesco.com/Groceries/pi/308/5012427141308/IDShot_90x90.jpg	Baxters Vegetarian Mediterranean Tomato Soup 400G	1.1	51017001	0.275
6	0.293	G	250.0	False	True	Save 50p Was £2.50 Now £2.00	1	KG	[Carrot & Coriander Bakes Made with Sweet Potato, Quinoa and Mixed Seeds (Chia, Linseed, Pumpkin and Flax) with a Minted Pea Centre]	http://img.tesco.com/Groceries/pi/013/5036829500013/IDShot_90x90.jpg	Gosh! Mixed Seed Quinoa, Carrot And Coriander Bakes 250G	2.0	81288964	8.0
7	0.31	G	215.0		True	Any 3 for £5.00	1	KG	[4 Vegetarian sausages made with potato, cheese and leek., Made with rich Gruyere cheese, tangy mature Cheddar, steamed potato, leeks and flat leaf parsley]	http://img.tesco.com/Groceries/pi/396/5054269296396/IDShot_90x90.jpg	Tesco Cheese And Leek Sausages 215G	2.3	79079903	10.7
8	0.305	G	280.0	False			1	KG	[Croquettes made from beetroot, feta and full fat soft cheese coated in dill breadcrumbs with a sachet of dill and mustard sauce., Croquettes made from beetroot and feta coated in dill breadcrumbs with a sachet of dill mustard sauce.]	http://img.tesco.com/Groceries/pi/211/5054775540211/IDShot_90x90.jpg	Tesco Finest Beetroot And Feta Croquettes 280G	2.25	80745765	8.04
9	0.297	G	250.0	False	True	Save 50p Was £2.50 Now £2.00	1	KG	[Moroccan Spiced Bakes Made with Chickpeas, Courgette, Apricot and Goji Berries Topped with Harissa Peppers]	http://img.tesco.com/Groceries/pi/075/5036829500075/IDShot_90x90.jpg	Gosh! Chickpea Courgette Moroccan Spiced Bake 250G	2.0	81288958	8.0
10	0.58	G	500.0	False	True	Half Price Was £3.00 Now £1.50	1	KG	[Cottage Pie, Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein and fibre., To discover lots of Quorn recipes and to explore the whole range, simply visit www.quorn.co.uk, Facebook, Twitter, Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/867/5019503002867/IDShot_90x90.jpg	Quorn Cottage Pie 500G	1.5	53415523	3.0
11	0.305	G	280.0	False	True	Save 50p Was £2.00 Now £1.50	1	100G	[2 Amazingly Indulgent Aromatic Thai Sweet Potato Vegcakes, Find us on: Facebook, Twitter and Instagram]	http://img.tesco.com/Groceries/pi/081/5056053300081/IDShot_90x90.jpg	Linda Mccartney Thai Vegetable Cakes 280G	1.5	80817485	0.536
12	0.09	G	240.0				1	KG	[Quorn Wild Garlic & Parsley Sausages are meat free and made with mycoprotein, We like to serve these sausages with dauphinoise potatoes and sweet glazed green beans and carrots., We'd love to hear about your serving ideas., To discover lots of Quorn recipes and to explore the whole range, simply, visit www.quorn.co.uk, Facebook, Twitter, Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/950/5019503021950/IDShot_90x90.jpg	Quorn Wild Garlic And Parsley Sausages 240G	2.0	71842076	8.34
13	0.288	G	280.0		True	Any 2 for £2.50	1	KG	[Cakes made from Rice, Vegetables, Cashew Nuts and Kombu Seaweed, Garlic and Ginger and a sachet of Lemongrass and Ginger dipping sauce, Rice and vegetables cakes with cashew nuts and Kombu seaweed with oriental spices and dipping sauce]	http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Meat Free Oriental Cakes With Lemongrass 280G	1.5	79790964	5.36
14	0.141	G	120.0				1	KG	[Bacon Rashers are meat free and made with mycoprotein.]	http://img.tesco.com/Groceries/pi/257/5019503005257/IDShot_90x90.jpg	Quorn Bacon Style Rashers 120G	1.5	66554292	12.5
15	0.2	G	500.0	False	True	Any 3 for £5.00	1	KG	[Lasagne, Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein and fibre., To discover lots of Quorn recipes and to explore the whole range, simply visit www.quorn.co.uk, Facebook, Twitter, Pinterest@Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/305/5019503010305/IDShot_90x90.jpg	Quorn Classic Lasagne 500G	3.0	63507601	6.0
16	0.475	G	400.0		True	Any 3 for £5.00	1	KG	[Butternut squash, cannellini beans, red kidney beans and butter beans in a tomato and chilli sauce served with long grain rice., Made with cannellini, kidney and butter beans, roasted butternut squash, fiery jalapenos and chipotle chilli]	http://img.tesco.com/Groceries/pi/863/5054269295863/IDShot_90x90.jpg	Tesco Three Bean Chilli And Rice 400G	2.3	79079080	5.75
17	0.13	G	130.0				1	KG	[Quorn Sausage are meat free and made with mycoprotein, wrapped in puff pastry., Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein and fibre., To discover lots of Quorn recipes and to explore the whole range, simply visit www.quorn.co.uk, Twitter & Pinterest @Quornfoods, Facebook www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/521/5019503025521/IDShot_90x90.jpg	Quorn Sausage Roll 130G	1.5	75220817	11.54
18	0.105	G	100.0				1	KG	[Turkey & Sage Slices are meat free and made with mycoprotein., To discover lots of Quorn recipes and to explore the whole range simply visit www.quorn.co.uk, Find us on Facebook, Twitter and Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/465/5019503004465/IDShot_90x90.jpg	Quorn Turkey And Sage Slices 100G	1.5	76817208	15.0
19	0.21	G	160.0	False			1	KG	[Marinated Tofu Pieces in a Lightly Spiced Seasoning, Did you know..., ...the Chinese have been using Soya for thousands of years, as an excellent source of protein, which is naturally low in saturated fat., Have you tried..., ...our Smoked Tofu or Original Tofu Block., Keep in touch..., For exciting recipe ideas and to share your tofu experiences, visit www.cauldronfoods.co.uk]	http://img.tesco.com/Groceries/pi/466/5013683305466/IDShot_90x90.jpg	Cauldron Foods Marinated Tofu Pieces 160G	2.5	54659970	15.63
20	0.323	G	280.0	False	True	Save 50p Was £2.50 Now £2.00	1	KG	[Sweetcorn Bites made with Quinoa, Red Onion & Coriander with a Hint of Harissa & Paprika]	http://img.tesco.com/Groceries/pi/099/5036829500099/IDShot_90x90.jpg	Gosh! Sweetcorn And Quinoa Bites 280G	2.0	81288935	7.15
21	0.4	G	400.0		True	Any 3 for £5.00	1	KG	[Tikka Masala & Rice is a meat free and made with mycoprotein., Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein & fibre., To discover lots of Quorn recipes and to explore the whole range, simply visit www.quorn.co.uk, Find us on Facebook, Twitter and Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/203/5019503024203/IDShot_90x90.jpg	Quorn Tikka Masala 400G	2.5	73921728	6.25
22	0.305	G	234.0		True	Any 3 for £5.00	1	KG	[2 Cheese bakes stuffed vegetables, Cheddar cheese and Gruyere cheese, coated in breadcrumbs., Made with carrots, red peppers, mushrooms, sweetcorn, potato and peas, with tasty pockets of Gruyere cheese]	http://img.tesco.com/Groceries/pi/327/5054269296327/IDShot_90x90.jpg	Tesco Vegetable And Cheese Crispbake 234G	2.3	79079874	9.83
23	0.55	G	500.0			£2 off when you spend £10 on any Asian products	1	100G	[A Punjabi style starter made from a blend of spices and vegetables filled into a crispy pastry.]	http://img.tesco.com/Groceries/pi/433/5026489484433/IDShot_90x90.jpg	Cofresh Vegetarian Punjabi Samosas 10S 500G	2.0	75019302	0.4
24	0.417	G	400.0	False			1	100G	[Puy lentil & tomato soup]	http://img.tesco.com/Groceries/pi/302/5012427073302/IDShot_90x90.jpg	Baxters Vegetarian Puy Lentil And Tomato 400G	1.1	77227127	0.275
25	0.167	SNGL	6.0	False			1	EACH	[Tesco Free Range Eggs. These freshly laid Tesco free range eggs come from, carefully selected East Anglian farms, that ensure high standards of both hen &, environmental welfare. Our hens enjoy a cereal based vegetarian diet and are, free to roam outdoors during the day. The Lion Quality mark guarantees that the, eggs have been laid in the U.K. and produced to the highest standards of food, safety. All Lion Quality eggs are date stamped for freshness. Our hens have, been vaccinated against salmonella.]	http://img.tesco.com/Groceries/pi/972/5051898442972/IDShot_90x90.jpg	T East Anglian Free Range Eggs Medium Box Of 6	0.89	61763196	0.148
26	0.825	SNGL	15.0	False			1	EACH	[Tesco Free Range Eggs.These freshly laid Tesco free range eggs come from, carefully selected Northern Irish farms, that ensure high standards of both hen, & environment welfare. Our hens enjoy a cereal based vegetarian diet and are, free to roam outdoors during the day. The Lion mark is your guarantee that, these are quality eggs laid by British hens vaccinated against Salmonella.]	http://img.tesco.com/Groceries/pi/706/5052003671706/IDShot_90x90.jpg	Tesco Mixed Sized Free Range Eggs 15 Pack	2.0	64760004	0.133
27	0.606	G	400.0	False			1	100G	[Tomato and Vegetable Soup with Wholewheat Pasta]	http://img.tesco.com/Groceries/pi/107/5012427072107/IDShot_90x90.jpg	Baxters Vegetarian Minestrone Pasta Wholemeal 400G	1.1	52575098	0.275
28	0.117	G	100.0				1	KG	[Quorn Meat Free Peppered Beef slices are made with mycoprotein with a beef style flavour., Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein and fibre., To discover recipes & to explore the whole range visit www.quorn.co.uk]	http://img.tesco.com/Groceries/pi/838/5019503011838/IDShot_90x90.jpg	Quorn Peppered Beef Style Slices 100G	1.5	66028731	15.0
29	1.1	SNGL	20.0	False			1	EACH	[Falafel and Houmous   Light rye bread with baked falafel and houmous, smoky roast red pepper sauce, spinach and carrot. Ploughman's   Malted brown bread with Cheddar cheese, tomato, pickle, lettuce and onion mayonnaise. Roast Vegetable and Soft Cheese   Tomato bread with smoky roast red pepper sauce, rocket, chargrilled red onion, roast butternut squash and full fat soft cheese. Cheese and Tomato   malted brown bread, Cheddar cheese, tomato and mayonnaise. Egg and Cress   Wheatgerm bread with hard boiled egg, mayonnaise and salad cress., 20 Vegetarian Sandwich Platter]	http://img.tesco.com/Groceries/pi/645/5052910157645/IDShot_90x90.jpg	Tesco Easy Entertaining 20 Vegetarian Sandwich Platter	12.0	72643534	0.6
