	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.263	CL	75.0		True	Save £1.00 Was £6.50 Now £5.50	1	75CL	[Classic Chardonnay - White Australian Wine]	http://img.tesco.com/Groceries/pi/538/9300727406538/IDShot_90x90.jpg	Jacob's Creek Chardonnay 75Cl	5.5	51349368	5.5
1	1.183	CL	75.0				1	75CL	[Muscadet - White French Wine]	http://img.tesco.com/Groceries/pi/097/5054775908097/IDShot_90x90.jpg	Tesco Muscadet 75Cl	4.5	81118320	4.5
2	0.45	CL	20.0		False	Any 4 for 3 Cheapest Product FREE	1	75CL	[Prosecco - White Italian Wine]	http://img.tesco.com/Groceries/pi/383/8005415050383/IDShot_90x90.jpg	Prosecco Canti D.O.C. 20Cl	2.5	76596860	9.38
3	1.25	CL	75.0				1	75CL	[Merlot - Red Italian Wine]	http://img.tesco.com/Groceries/pi/352/0839728005352/IDShot_90x90.jpg	Ogio Merlot 75Cl	5.0	71324281	5.0
4	1.167	CL	75.0				1	75CL	[Rosé British Wine, To find out more, join us on facebook]	http://img.tesco.com/Groceries/pi/696/5010658312696/IDShot_90x90.jpg	Silver Bay Point Rose 75Cl	2.8	66100294	2.8
5	1.25	CL	75.0				1	75CL	[Cabernet Sauvignon Shiraz. South Africa. W.O. Western Cape. Wine of South Africa., A soft medium bodied red, with rich characters of plums, blackberries and warming spices.  Made from blend of Cabernet Sauvignon and Shiraz grapes, sourced from vineyards in the heart of South Africa's most celebrated wine region.  Serve at room temperature with steak, sausage, casseroles, lamb chops and hard cheeses.]	http://img.tesco.com/Groceries/pi/149/5054775890149/IDShot_90x90.jpg	Tesco South African Cabernet Shiraz 75Cl	3.95	81103844	3.95
6	1.275	CL	75.0		True	Any 2 for £9.00	1	75CL	[Chenin Blanc Chardonnay Semillon - White South African Wine]	http://img.tesco.com/Groceries/pi/040/5028267013040/IDShot_90x90.jpg	Kumala Eternal Chenin Chardonnay Semillon 75Cl	5.0	59321054	5.0
7	1.183	CL	75.0				1	75CL	[Pinot Grigio - White Chilean Wine]	http://img.tesco.com/Groceries/pi/683/7804320430683/IDShot_90x90.jpg	Frontera Pinot Grigio 75Cl	6.0	71112589	6.0
8	1.208	CL	75.0				1	75CL	[Rosé Wine]	http://img.tesco.com/Groceries/pi/085/5010103995085/IDShot_90x90.jpg	Blossom Hill Rose 75Cl	4.9	67684533	4.9
9	1.233	CL	75.0				1	75CL	[Red Wine Rioja DOCa  Dry Red Wine. Product of Spain, Vineyards Rioja DOCa Red Wine 75cl]	http://img.tesco.com/Groceries/pi/752/5054775812752/IDShot_90x90.jpg	Tesco Rioja 75Cl	4.3	81067212	4.3
10	1.25	CL	75.0				1	75CL	[Sauvignon Blanc - White South African Wine]	http://img.tesco.com/Groceries/pi/523/5060096611523/IDShot_90x90.jpg	First Cape Special Cuvee Sauvignon 75Cl	8.0	73518521	8.0
11	1.781	CL	75.0		True	Save 50p Was £2.00 Now £1.50	1	75CL	[A slightly sparkling perry., Facebook/Lambrini, Twitter/LambriniUK]	http://img.tesco.com/Groceries/pi/096/5011166001096/IDShot_90x90.jpg	Lambrini Bianco 75Cl	1.5	52054093	1.5
